model,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
gemma3:4b,file_tree_only,16,1.0,0.528125,0.2935261429746724,0.08822037337662338,0.1243606951069327,0.5546875,10.938375,28.91885789825,1817.0625,6.8125
gemma3:4b,full_selected_context,16,1.0,0.6895833333333333,0.44912367044719986,0.12483540764790764,0.16787897298986734,0.43189484126984123,19.9128125,40.20693946742641,34953.875,7.75
gemma3:4b,models_services,16,1.0,0.5593750000000001,0.3337510834753481,0.03582003066378066,0.15753664628246739,0.5734375,14.044124999999998,30.213863229149812,16922.6875,6.6875
gemma3:4b,readme_only,16,1.0,0.6895833333333333,0.36875520313020316,0.03123895202020202,0.1507290625331924,0.4505208333333333,10.583625,35.07860542129237,3490.4375,6.75
gemma3:4b,readme_plus_code,16,0.9375,0.7104166666666666,0.4391497289475231,0.08639845521541949,0.16253833034462034,0.3703125,18.577625,40.04149290597434,30179.75,7.125
gemma3:4b,readme_plus_tree,16,0.9375,0.73125,0.37738701249730666,0.06793278769841268,0.1490746830206559,0.3421875,11.931374999999997,38.006446436683824,5309.5,6.375
gemma3:4b,routes_controllers,16,0.875,0.575,0.2767413040390982,0.12555747204184703,0.15710106111731725,0.5048295454545455,15.7734375,31.00531554441968,17198.3125,6.5
granite3.2-vision:latest,file_tree_only,16,0.8125,0.32291666666666663,0.132081919306184,0.04427083333333333,0.06338294603439808,0.5074404761904763,5.3918124999999995,17.842956604327647,1817.0625,3.0625
granite3.2-vision:latest,full_selected_context,16,0.4375,0.10416666666666666,0.15807005494505494,0.07254464285714285,0.06685903215333988,0.19880952380952382,13.584937499999999,18.081468357757974,34953.875,2.625
granite3.2-vision:latest,models_services,16,0.6875,0.278125,0.09321973981900453,0.025496031746031746,0.054431692831312405,0.42045454545454547,10.095062500000001,15.947041466510024,16922.6875,2.4375
granite3.2-vision:latest,readme_only,16,0.875,0.4114583333333333,0.13611694677871147,0.03125,0.09968064326927707,0.5241815476190477,5.644875,19.87165397677025,3490.4375,3.625
granite3.2-vision:latest,readme_plus_code,16,0.3125,0.0,0.11235119047619048,0.06666666666666667,0.03742739200943535,0.15364583333333331,13.200625,14.290577546808198,30179.75,1.25
granite3.2-vision:latest,readme_plus_tree,16,0.8125,0.390625,0.1203411172161172,0.009375,0.07392090715543867,0.4375,5.5344375,18.945752709895682,5309.5,2.5625
granite3.2-vision:latest,routes_controllers,16,0.5625,0.22916666666666666,0.13381410256410256,0.019444444444444445,0.057017297762122214,0.29270833333333335,9.857062499999998,17.58389194506431,17198.3125,2.25
llama3.2-vision:11b,file_tree_only,16,1.0,0.45,0.2796384681494975,0.08836805555555556,0.1316521976183281,0.6324652777777778,15.981,26.204837682840672,1817.0625,8.0
llama3.2-vision:11b,full_selected_context,16,0.9375,0.6479166666666666,0.32197523677303086,0.21260025853775852,0.15248195479954144,0.3854166666666667,39.0621875,36.91253444647104,34953.875,5.25
