repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,gemma3:4b,3576,11,8,4,1,0.5,0.36363636363636365,0.0,0.13632938357076288,0.5,15.646,29.77221348083417
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,gemma3:4b,4907,11,8,3,1,0.5,0.2727272727272727,0.0,0.08032890575585072,0.625,12.73,24.500388131792306
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_tree,gemma3:4b,8485,11,0,0,0,0.0,0.0,0.0,0.0,0.0,15.567,10.0
4jean__lav_sms,LAVSMS Laravel School Management,routes_controllers,gemma3:4b,30026,11,8,3,1,0.75,0.2727272727272727,0.13055555555555556,0.25773524720893143,0.625,21.239,34.77259436469963
4jean__lav_sms,LAVSMS Laravel School Management,models_services,gemma3:4b,6218,11,8,5,1,0.5,0.45454545454545453,0.02,0.14365616453647373,0.375,13.48,34.71393337713802
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,gemma3:4b,39648,11,8,3,1,0.5,0.2727272727272727,0.041666666666666664,0.10368009272674587,0.625,23.017,25.683989269689068
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,gemma3:4b,50449,11,9,3,1,0.5,0.2727272727272727,0.08928571428571429,0.09891917293233082,0.6666666666666666,28.045,26.148289758487124
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,gemma3:4b,255,7,3,2,1,0.0,0.2857142857142857,0.0,0.1935897435897436,0.3333333333333333,4.743,19.57051282051282
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,gemma3:4b,844,7,8,3,1,1.0,0.42857142857142855,0.1111111111111111,0.20826156299840512,0.625,13.286,44.09614566719829
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_tree,gemma3:4b,1101,7,8,2,1,1.0,0.2857142857142857,0.22916666666666666,0.16451612903225807,0.75,13.116,39.5510752688172
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,routes_controllers,gemma3:4b,9831,7,0,0,0,0.0,0.0,0.0,0.0,0.0,13.79,10.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,models_services,gemma3:4b,9266,7,8,3,1,1.0,0.42857142857142855,0.0,0.18802151954325866,0.625,13.893,41.570322793148875
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,gemma3:4b,17957,7,8,3,1,1.0,0.42857142857142855,0.1111111111111111,0.18249961040984886,0.625,16.062,43.709716378369954
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,gemma3:4b,18821,7,8,2,1,1.0,0.2857142857142857,0.0,0.12727272727272726,0.75,16.478,34.409090909090914
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,gemma3:4b,595,4,2,2,1,1.0,0.5,0.0,0.14870689655172414,0.0,3.769,49.730603448275865
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,gemma3:4b,223,4,4,0,1,1.0,0.0,0.0,0.0,1.0,6.2,20.0
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_tree,gemma3:4b,820,4,3,2,1,1.0,0.5,0.0,0.14451612903225808,0.3333333333333333,5.121,46.33440860215053
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,routes_controllers,gemma3:4b,2248,4,4,3,1,1.0,0.75,0.0,0.20118279569892472,0.25,6.62,56.76774193548386
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,models_services,gemma3:4b,10520,4,4,1,1,1.0,0.25,0.0,0.07692307692307693,0.75,9.355,32.40384615384615
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,gemma3:4b,13933,4,4,3,1,1.0,0.75,0.08333333333333333,0.20670062695924765,0.25,9.487,58.517176071055374
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,gemma3:4b,14176,4,4,3,1,1.0,0.75,0.08333333333333333,0.20670062695924765,0.25,9.396,58.517176071055374
