repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,granite3.2-vision:latest,3576,11,0,0,0,0.0,0.0,0.0,0.0,0.0,12.865,10.0
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,granite3.2-vision:latest,4907,11,3,0,1,0.5,0.0,0.0,0.0,1.0,3.191,10.0
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_tree,granite3.2-vision:latest,8485,11,0,0,0,0.0,0.0,0.0,0.0,0.0,12.912,10.0
4jean__lav_sms,LAVSMS Laravel School Management,routes_controllers,granite3.2-vision:latest,30026,11,3,0,1,0.5,0.0,0.0,0.0,1.0,10.071,10.0
4jean__lav_sms,LAVSMS Laravel School Management,models_services,granite3.2-vision:latest,6218,11,3,0,1,0.5,0.0,0.0,0.0,1.0,3.688,10.0
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,granite3.2-vision:latest,39648,11,0,0,0,0.0,0.0,0.0,0.0,0.0,12.187,10.0
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,granite3.2-vision:latest,50449,11,0,0,0,0.0,0.0,0.0,0.0,0.0,27.987,10.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,granite3.2-vision:latest,255,7,2,1,1,0.0,0.14285714285714285,0.0,0.16129032258064516,0.5,2.124,12.419354838709678
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,granite3.2-vision:latest,844,7,0,0,0,0.0,0.0,0.0,0.0,0.0,10.9,10.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_tree,granite3.2-vision:latest,1101,7,3,1,1,0.0,0.14285714285714285,0.0,0.15625,0.6666666666666666,3.236,10.677083333333332
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,routes_controllers,granite3.2-vision:latest,9831,7,0,0,0,0.0,0.0,0.0,0.0,0.0,13.593,10.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,models_services,granite3.2-vision:latest,9266,7,4,0,1,0.0,0.0,0.0,0.0,1.0,6.057,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,granite3.2-vision:latest,17957,7,8,5,1,0.0,0.7142857142857143,0.11666666666666665,0.1574097007223942,0.375,10.722,35.94447884416925
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,granite3.2-vision:latest,18821,7,6,4,1,0.0,0.5714285714285714,0.0,0.2029702012383901,0.3333333333333333,7.941,29.71121968524252
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,granite3.2-vision:latest,595,4,8,1,1,0.0,0.25,0.0,0.14285714285714285,0.875,5.528,12.14285714285714
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,granite3.2-vision:latest,223,4,7,2,1,0.0,0.5,0.0,0.10926773455377574,0.7142857142857143,6.405,21.996158875449492
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_tree,granite3.2-vision:latest,820,4,2,1,1,0.0,0.25,0.0,0.14285714285714285,0.5,2.572,15.892857142857142
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,routes_controllers,granite3.2-vision:latest,2248,4,6,4,1,0.0,1.0,0.0,0.18992456896551724,0.3333333333333333,4.896,44.515535201149426
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,models_services,granite3.2-vision:latest,10520,4,0,0,0,0.0,0.0,0.0,0.0,0.0,14.028,10.0
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,granite3.2-vision:latest,13933,4,2,1,1,0.0,0.25,0.5,0.175,0.5,5.828,26.375
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,granite3.2-vision:latest,14176,4,2,1,1,0.0,0.25,0.25,0.15555555555555556,0.5,6.481,21.083333333333336
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,granite3.2-vision:latest,821,6,8,2,1,0.0,0.3333333333333333,0.0,0.0725,0.75,7.022,15.254166666666666
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,granite3.2-vision:latest,435,6,7,3,1,0.0,0.5,0.0,0.09209656084656086,0.5714285714285714,5.997,23.1671626984127
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_tree,granite3.2-vision:latest,1258,6,3,2,1,0.0,0.3333333333333333,0.0,0.04415954415954416,0.3333333333333333,3.193,18.995726495726494
JacksonGao1999__StudentManagement,Student Management CRUD,routes_controllers,granite3.2-vision:latest,3524,6,2,1,1,0.0,0.16666666666666666,0.2,0.09375,0.5,3.137,16.239583333333336
JacksonGao1999__StudentManagement,Student Management CRUD,models_services,granite3.2-vision:latest,2329,6,2,1,1,0.0,0.16666666666666666,0.0,0.10344827586206896,0.5,3.087,12.385057471264368
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_code,granite3.2-vision:latest,15215,6,4,3,1,0.0,0.5,0.0,0.06920634920634922,0.25,5.199,26.038095238095238
JacksonGao1999__StudentManagement,Student Management CRUD,full_selected_context,granite3.2-vision:latest,19298,6,5,1,1,0.0,0.16666666666666666,0.4,0.047619047619047616,0.8,10.288,16.547619047619047
RameshMF__library-management-system,Library Management REST API,readme_only,granite3.2-vision:latest,245,6,7,1,1,0.5,0.16666666666666666,0.5,0.23076923076923078,0.8571428571428571,7.106,30.72344322344322
RameshMF__library-management-system,Library Management REST API,file_tree_only,granite3.2-vision:latest,238,6,2,0,1,0.5,0.0,0.0,0.0,1.0,2.153,10.0
RameshMF__library-management-system,Library Management REST API,readme_plus_tree,granite3.2-vision:latest,485,6,2,0,1,0.5,0.0,0.0,0.0,1.0,2.124,10.0
