repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,llama3.2-vision:11b,3576,11,8,2,1,0.5,0.18181818181818182,0.0,0.07294429708222812,0.75,21.422,19.957800819869785
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,llama3.2-vision:11b,4907,11,9,1,1,0.75,0.09090909090909091,0.25,0.16666666666666666,0.8888888888888888,23.069,26.792929292929298
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_tree,llama3.2-vision:11b,8485,11,7,3,1,0.5,0.2727272727272727,0.08928571428571429,0.0948285747047357,0.5714285714285714,25.341,27.039311737454153
4jean__lav_sms,LAVSMS Laravel School Management,routes_controllers,llama3.2-vision:11b,30026,11,5,2,1,0.75,0.18181818181818182,0.05,0.10023041474654378,0.6,42.481,27.867092584834523
4jean__lav_sms,LAVSMS Laravel School Management,models_services,llama3.2-vision:11b,6218,11,8,3,1,0.5,0.2727272727272727,0.03333333333333333,0.16013276434329066,0.625,24.412,26.36411267727057
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,llama3.2-vision:11b,39648,11,6,2,1,0.5,0.18181818181818182,0.13392857142857142,0.13553113553113552,0.6666666666666666,52.027,24.40850815850816
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,llama3.2-vision:11b,50449,11,6,2,1,0.5,0.18181818181818182,0.0,0.10346320346320347,0.6666666666666666,61.832,21.24891774891775
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,llama3.2-vision:11b,255,7,2,1,1,0.0,0.14285714285714285,0.16666666666666666,0.18181818181818182,0.5,4.266,16.06060606060606
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,llama3.2-vision:11b,844,7,9,1,1,0.0,0.14285714285714285,0.3333333333333333,0.19047619047619047,0.8888888888888888,18.704,15.634920634920634
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_tree,llama3.2-vision:11b,1101,7,9,2,1,0.0,0.2857142857142857,0.14583333333333331,0.11346153846153846,0.7777777777777778,16.422,16.840811965811962
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,routes_controllers,llama3.2-vision:11b,9831,7,8,3,1,0.0,0.42857142857142855,0.1865079365079365,0.1385964912280702,0.625,25.27,24.559106098579782
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,models_services,llama3.2-vision:11b,9266,7,12,3,1,0.0,0.42857142857142855,0.047619047619047616,0.1632811632811633,0.75,36.944,20.901598401598402
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,llama3.2-vision:11b,17957,7,5,3,1,1.0,0.42857142857142855,0.14484126984126985,0.25933245498462887,0.4,26.672,47.78681222159483
