repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,llama3.2:3b,3576,11,8,2,1,0.5,0.18181818181818182,0.0,0.11126373626373626,0.75,8.109,20.532592407592407
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,llama3.2:3b,4907,11,9,3,1,0.0,0.2727272727272727,0.03333333333333333,0.06784345922276958,0.6666666666666666,8.502,14.563106433796088
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_tree,llama3.2:3b,8485,11,7,2,1,0.5,0.18181818181818182,0.0625,0.1,0.7142857142857143,7.457,21.970779220779225
4jean__lav_sms,LAVSMS Laravel School Management,routes_controllers,llama3.2:3b,30026,11,4,1,1,0.25,0.09090909090909091,0.25,0.13043478260869565,0.75,12.124,17.638339920948617
4jean__lav_sms,LAVSMS Laravel School Management,models_services,llama3.2:3b,6218,11,8,1,1,0.25,0.09090909090909091,0.0,0.125,0.875,8.735,11.306818181818182
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,llama3.2:3b,39648,11,9,1,1,0.0,0.09090909090909091,0.0,0.11538461538461539,0.8888888888888888,18.862,6.023698523698524
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,llama3.2:3b,50449,11,0,0,0,0.0,0.0,0.0,0.0,0.0,32.854,10.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,llama3.2:3b,255,7,8,4,1,0.0,0.5714285714285714,0.14583333333333331,0.23027777777777778,0.5,6.73,31.37083333333333
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,llama3.2:3b,844,7,8,1,1,0.0,0.14285714285714285,0.3333333333333333,0.1,0.875,5.663,14.416666666666666
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_tree,llama3.2:3b,1101,7,8,2,1,0.0,0.2857142857142857,0.0,0.12692307692307692,0.75,7.18,14.403846153846153
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,routes_controllers,llama3.2:3b,9831,7,5,3,1,0.0,0.42857142857142855,0.0,0.1510446075663467,0.4,5.885,23.2656691134952
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,models_services,llama3.2:3b,9266,7,8,3,1,0.0,0.42857142857142855,0.047619047619047616,0.1333714721586575,0.625,9.65,21.702953034760814
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,llama3.2:3b,17957,7,8,5,1,0.0,0.7142857142857143,0.02857142857142857,0.15410641989589358,0.375,10.27,34.13302486986698
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,llama3.2:3b,18821,7,6,5,1,0.0,0.7142857142857143,0.0,0.21105705888314583,0.16666666666666666,8.249,36.49918921658052
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,llama3.2:3b,595,4,8,2,1,0.0,0.5,0.0,0.07846153846153847,0.75,7.054,21.176923076923078
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,llama3.2:3b,223,4,9,2,1,0.0,0.5,0.0,0.13339920948616601,0.7777777777777778,6.717,21.72321036451471
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_tree,llama3.2:3b,820,4,9,0,1,0.0,0.0,0.0,0.0,1.0,6.683,0.0
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,routes_controllers,llama3.2:3b,2248,4,8,1,1,0.0,0.25,0.5,0.21052631578947367,0.875,7.87,23.157894736842106
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,models_services,llama3.2:3b,10520,4,8,3,1,0.0,0.75,0.25,0.12966971300304633,0.625,9.56,36.945045695045685
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,llama3.2:3b,13933,4,4,3,1,0.0,0.75,0.0,0.2346627438160619,0.25,6.138,37.26994115724093
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,llama3.2:3b,14176,4,4,2,1,0.0,0.5,0.25,0.15028490028490027,0.5,7.908,29.754273504273502
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,llama3.2:3b,821,6,6,4,1,0.0,0.6666666666666666,0.0,0.10803571428571429,0.3333333333333333,7.598,31.620535714285715
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,llama3.2:3b,435,6,8,4,1,0.0,0.6666666666666666,0.0,0.10410355773258999,0.5,7.899,29.894886699322182
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_tree,llama3.2:3b,1258,6,8,4,1,0.0,0.6666666666666666,0.0,0.0943038323683485,0.5,7.172,29.747890818858558
