repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,qwen2.5-coder:1.5b,3576,11,7,1,1,0.25,0.09090909090909091,0.0,0.0967741935483871,0.8571428571428571,3.546,11.062002513615417
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,qwen2.5-coder:1.5b,4907,11,7,2,1,1.0,0.18181818181818182,0.0,0.04922779922779923,0.7142857142857143,3.919,29.959196209196215
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_tree,qwen2.5-coder:1.5b,8485,11,4,0,1,0.5,0.0,0.0,0.0,1.0,2.59,10.0
4jean__lav_sms,LAVSMS Laravel School Management,routes_controllers,qwen2.5-coder:1.5b,30026,11,6,0,1,0.5,0.0,0.0,0.0,1.0,6.496,10.0
4jean__lav_sms,LAVSMS Laravel School Management,models_services,qwen2.5-coder:1.5b,6218,11,4,0,1,0.25,0.0,0.0,0.0,1.0,3.065,5.0
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,qwen2.5-coder:1.5b,39648,11,7,1,1,0.5,0.09090909090909091,0.0,0.1388888888888889,0.8571428571428571,7.036,16.693722943722946
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,qwen2.5-coder:1.5b,50449,11,4,1,1,0.5,0.09090909090909091,0.0,0.125,0.75,7.414,17.556818181818183
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,qwen2.5-coder:1.5b,255,7,6,2,1,1.0,0.2857142857142857,0.0,0.16620879120879123,0.6666666666666666,2.949,35.826465201465204
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,qwen2.5-coder:1.5b,844,7,7,2,1,1.0,0.2857142857142857,0.0625,0.24331103678929766,0.7142857142857143,3.986,37.75680840898232
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_tree,qwen2.5-coder:1.5b,1101,7,7,2,1,1.0,0.2857142857142857,0.0,0.15773809523809523,0.7142857142857143,3.477,35.22321428571429
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,routes_controllers,qwen2.5-coder:1.5b,9831,7,6,3,1,0.0,0.42857142857142855,0.05555555555555555,0.15091973244147158,0.5,3.55,23.374907097733182
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,models_services,qwen2.5-coder:1.5b,9266,7,7,1,1,1.0,0.14285714285714285,0.14285714285714285,0.16,0.8571428571428571,4.59,31.68571428571429
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,qwen2.5-coder:1.5b,17957,7,7,3,1,0.0,0.42857142857142855,0.05555555555555555,0.18666666666666668,0.5714285714285714,5.498,23.196825396825396
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,qwen2.5-coder:1.5b,18821,7,8,3,1,0.0,0.42857142857142855,0.05555555555555555,0.21076923076923074,0.625,6.258,23.02264957264957
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,qwen2.5-coder:1.5b,595,4,2,1,1,1.0,0.25,0.0,0.2692307692307692,0.5,1.217,37.78846153846153
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,qwen2.5-coder:1.5b,223,4,7,3,1,1.0,0.75,0.0,0.20787063178367526,0.5714285714285714,4.712,53.65377376246941
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_tree,qwen2.5-coder:1.5b,820,4,7,3,1,1.0,0.75,0.0,0.21466275659824044,0.5714285714285714,3.917,53.75565563468788
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,routes_controllers,qwen2.5-coder:1.5b,2248,4,4,2,1,1.0,0.5,0.20833333333333331,0.3062659846547314,0.5,2.43,51.260656436487636
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,models_services,qwen2.5-coder:1.5b,10520,4,4,3,1,1.0,0.75,0.27777777777777773,0.23470418470418467,0.25,3.225,62.82611832611833
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,qwen2.5-coder:1.5b,13933,4,5,2,1,1.0,0.5,0.0,0.2403846153846154,0.6,4.021,45.10576923076923
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,qwen2.5-coder:1.5b,14176,4,4,3,1,0.0,0.75,0.4444444444444444,0.1873950422337519,0.25,3.837,45.449814522395165
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,qwen2.5-coder:1.5b,821,6,4,3,1,1.0,0.5,0.0,0.13504111321948134,0.25,2.169,47.025616698292225
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,qwen2.5-coder:1.5b,435,6,4,3,1,1.0,0.5,0.21666666666666667,0.09370825253178194,0.25,2.534,50.738957121310065
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_tree,qwen2.5-coder:1.5b,1258,6,4,3,1,0.0,0.5,0.21666666666666667,0.06775599128540305,0.25,2.803,30.34967320261438
JacksonGao1999__StudentManagement,Student Management CRUD,routes_controllers,qwen2.5-coder:1.5b,3524,6,4,2,1,1.0,0.3333333333333333,0.2,0.05132275132275132,0.5,2.789,41.43650793650794
JacksonGao1999__StudentManagement,Student Management CRUD,models_services,qwen2.5-coder:1.5b,2329,6,4,0,1,1.0,0.0,0.0,0.0,1.0,3.001,20.0
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_code,qwen2.5-coder:1.5b,15215,6,4,3,1,0.0,0.5,0.21666666666666667,0.06210403952339436,0.25,4.076,30.26489392618425
JacksonGao1999__StudentManagement,Student Management CRUD,full_selected_context,qwen2.5-coder:1.5b,19298,6,4,1,1,0.0,0.16666666666666666,0.4,0.058823529411764705,0.75,4.532,17.215686274509803
