repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,qwen2.5-coder:7b,3576,11,8,4,1,0.5,0.36363636363636365,0.0,0.09508070905129729,0.5,12.084,29.153483363042188
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,qwen2.5-coder:7b,4907,11,8,3,1,0.5,0.2727272727272727,0.0,0.05238095238095238,0.625,9.444,24.08116883116883
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_tree,qwen2.5-coder:7b,8485,11,8,3,1,0.5,0.2727272727272727,0.0,0.12443854995579133,0.625,12.29,25.16203279479141
4jean__lav_sms,LAVSMS Laravel School Management,routes_controllers,qwen2.5-coder:7b,30026,11,8,6,1,0.75,0.5454545454545454,0.2388888888888889,0.17299082313681868,0.25,22.327,48.96354921573916
4jean__lav_sms,LAVSMS Laravel School Management,models_services,qwen2.5-coder:7b,6218,11,8,2,1,0.5,0.18181818181818182,0.0,0.23043478260869565,0.75,11.956,22.3201581027668
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,qwen2.5-coder:7b,39648,11,0,0,0,0.0,0.0,0.0,0.0,0.0,28.419,10.0
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,qwen2.5-coder:7b,50449,11,8,4,1,0.5,0.36363636363636365,0.09821428571428571,0.10961674587925979,0.5,33.741,31.335809629747335
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,qwen2.5-coder:7b,255,7,3,2,1,0.0,0.2857142857142857,0.0,0.12695652173913044,0.3333333333333333,3.975,18.571014492753623
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,qwen2.5-coder:7b,844,7,8,3,1,1.0,0.42857142857142855,0.0,0.18738977072310403,0.625,9.138,41.56084656084656
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_tree,qwen2.5-coder:7b,1101,7,5,2,1,0.0,0.2857142857142857,0.14583333333333331,0.13523809523809524,0.6,6.384,18.945238095238096
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,routes_controllers,qwen2.5-coder:7b,9831,7,8,5,1,1.0,0.7142857142857143,0.11190476190476191,0.22427660059239005,0.375,13.166,56.85224424698109
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,models_services,qwen2.5-coder:7b,9266,7,8,3,1,1.0,0.42857142857142855,0.08928571428571429,0.1321468386685778,0.625,14.178,42.517916865742954
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,qwen2.5-coder:7b,17957,7,8,3,1,0.0,0.42857142857142855,0.10317460317460318,0.13684463684463685,0.625,17.884,22.86616161616162
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,qwen2.5-coder:7b,18821,7,7,6,1,0.0,0.8571428571428571,0.17956349206349206,0.14010634293242988,0.14285714285714285,18.669,44.264293556684855
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,qwen2.5-coder:7b,595,4,8,3,1,1.0,0.75,0.0,0.219496705564817,0.625,12.053,53.29245058347225
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,qwen2.5-coder:7b,223,4,8,1,1,1.0,0.25,0.0,0.3157894736842105,0.875,12.623,34.73684210526316
