repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,qwen2.5:3b,3576,11,8,2,1,0.5,0.18181818181818182,0.0,0.10687830687830688,0.75,8.188,20.466810966810968
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,qwen2.5:3b,4907,11,8,5,1,0.25,0.45454545454545453,0.0,0.09250282569168018,0.375,6.884,28.54663329446612
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_tree,qwen2.5:3b,8485,11,8,3,1,0.5,0.2727272727272727,0.0,0.13794871794871796,0.625,9.876,25.364685314685314
4jean__lav_sms,LAVSMS Laravel School Management,routes_controllers,qwen2.5:3b,30026,11,7,1,1,0.5,0.09090909090909091,0.0,0.21052631578947367,0.8571428571428571,12.453,17.768284347231717
4jean__lav_sms,LAVSMS Laravel School Management,models_services,qwen2.5:3b,6218,11,8,0,1,0.25,0.0,0.0,0.0,1.0,10.045,5.0
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,qwen2.5:3b,39648,11,5,2,1,0.5,0.18181818181818182,0.24285714285714285,0.09523809523809523,0.6,14.916,26.64935064935065
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,qwen2.5:3b,50449,11,7,2,1,0.5,0.18181818181818182,0.0,0.13333333333333333,0.7142857142857143,18.991,21.22077922077922
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,qwen2.5:3b,255,7,8,3,1,1.0,0.42857142857142855,0.0,0.17208333333333334,0.625,6.676,41.33125
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,qwen2.5:3b,844,7,8,3,1,1.0,0.42857142857142855,0.0,0.16614906832298137,0.625,6.886,41.242236024844715
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_tree,qwen2.5:3b,1101,7,8,4,1,1.0,0.5714285714285714,0.07291666666666666,0.12420862981207809,0.5,8.453,48.32146278051451
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,routes_controllers,qwen2.5:3b,9831,7,8,3,1,0.0,0.42857142857142855,0.15873015873015872,0.23093681917211328,0.625,8.361,25.38865546218487
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,models_services,qwen2.5:3b,9266,7,8,3,1,0.0,0.42857142857142855,0.041666666666666664,0.21141215106732347,0.625,12.276,22.754515599343186
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,qwen2.5:3b,17957,7,8,5,1,1.0,0.7142857142857143,0.0,0.22599777034559648,0.375,10.729,54.639966555183946
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,qwen2.5:3b,18821,7,8,5,1,1.0,0.7142857142857143,0.0,0.15642218573253058,0.375,10.908,53.59633278598797
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,qwen2.5:3b,595,4,3,1,1,1.0,0.25,0.0,0.16129032258064516,0.6666666666666666,3.31,34.50268817204301
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,qwen2.5:3b,223,4,2,1,1,1.0,0.25,0.0,0.2222222222222222,0.5,2.01,37.08333333333333
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_tree,qwen2.5:3b,820,4,8,4,1,1.0,1.0,0.0,0.1940870636110516,0.5,10.643,62.91130595416578
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,routes_controllers,qwen2.5:3b,2248,4,4,4,1,0.0,1.0,0.0,0.216984126984127,0.0,4.332,48.2547619047619
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,models_services,qwen2.5:3b,10520,4,8,4,1,1.0,1.0,0.0,0.19477671451355663,0.5,10.805,62.92165071770336
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,qwen2.5:3b,13933,4,8,4,1,1.0,1.0,0.0,0.24433981166098975,0.5,9.096,63.665097174914855
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,qwen2.5:3b,14176,4,8,4,1,1.0,1.0,0.22916666666666666,0.20371026822639726,0.5,11.673,67.6389873567293
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,qwen2.5:3b,821,6,2,2,1,1.0,0.3333333333333333,0.0,0.1492921492921493,0.0,2.853,43.9060489060489
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,qwen2.5:3b,435,6,8,3,1,1.0,0.5,0.0,0.21150153609831027,0.625,8.744,44.42252304147465
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_tree,qwen2.5:3b,1258,6,2,2,1,1.0,0.3333333333333333,0.0,0.13844086021505375,0.0,2.553,43.743279569892465
JacksonGao1999__StudentManagement,Student Management CRUD,routes_controllers,qwen2.5:3b,3524,6,2,1,1,0.0,0.16666666666666666,0.0,0.2972972972972973,0.5,3.011,15.292792792792792
JacksonGao1999__StudentManagement,Student Management CRUD,models_services,qwen2.5:3b,2329,6,7,0,1,1.0,0.0,0.0,0.0,1.0,7.803,20.0
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_code,qwen2.5:3b,15215,6,5,3,1,0.0,0.5,0.0,0.260950605778192,0.4,8.117,27.414259086672878
JacksonGao1999__StudentManagement,Student Management CRUD,full_selected_context,qwen2.5:3b,19298,6,3,0,1,0.0,0.0,0.0,0.0,1.0,8.657,0.0
RameshMF__library-management-system,Library Management REST API,readme_only,qwen2.5:3b,245,6,8,3,1,0.5,0.5,0.0,0.07904761904761905,0.625,6.777,32.43571428571429
RameshMF__library-management-system,Library Management REST API,file_tree_only,qwen2.5:3b,238,6,9,3,1,0.5,0.5,0.0,0.0940620782726046,0.6666666666666666,8.947,32.24426450742241
RameshMF__library-management-system,Library Management REST API,readme_plus_tree,qwen2.5:3b,485,6,8,2,1,0.5,0.3333333333333333,0.0,0.08410138248847926,0.75,7.191,25.428187403993856
RameshMF__library-management-system,Library Management REST API,routes_controllers,qwen2.5:3b,2731,6,8,2,1,1.0,0.3333333333333333,0.225,0.24926686217008798,0.75,8.336,42.40566959921799
RameshMF__library-management-system,Library Management REST API,models_services,qwen2.5:3b,3799,6,8,3,1,0.5,0.5,0.0,0.21757471757471758,0.625,7.471,34.513620763620764
RameshMF__library-management-system,Library Management REST API,readme_plus_code,qwen2.5:3b,7299,6,8,4,1,0.5,0.6666666666666666,0.16666666666666666,0.3050865800865801,0.5,8.117,46.24296536796537
RameshMF__library-management-system,Library Management REST API,full_selected_context,qwen2.5:3b,7557,6,8,4,1,0.5,0.6666666666666666,0.2791666666666667,0.3453125,0.5,9.269,49.096354166666664
SkyCascade__SkyLearn,SkyLearn Learning Management System,readme_only,qwen2.5:3b,3850,26,8,6,1,0.75,0.23076923076923078,0.0,0.13057465844781865,0.25,7.02,32.53554295364036
SkyCascade__SkyLearn,SkyLearn Learning Management System,file_tree_only,qwen2.5:3b,1315,26,8,5,1,0.5,0.19230769230769232,0.13333333333333333,0.12859841734841737,0.375,7.418,27.576412157662162
SkyCascade__SkyLearn,SkyLearn Learning Management System,readme_plus_tree,qwen2.5:3b,5167,26,8,7,1,0.75,0.2692307692307692,0.028571428571428574,0.15650241660059333,0.125,6.843,36.0920417435144
SkyCascade__SkyLearn,SkyLearn Learning Management System,routes_controllers,qwen2.5:3b,28437,26,8,3,1,0.5,0.11538461538461539,0.0,0.1602704678362573,0.625,13.636,20.1925185560054
SkyCascade__SkyLearn,SkyLearn Learning Management System,models_services,qwen2.5:3b,23697,26,8,2,1,0.5,0.07692307692307693,0.08333333333333333,0.11759868421052631,0.75,12.559,18.62295462213225
SkyCascade__SkyLearn,SkyLearn Learning Management System,readme_plus_code,qwen2.5:3b,39914,26,8,4,1,0.75,0.15384615384615385,0.12272727272727274,0.11355490387748453,0.5,15.61,29.54248439732311
SkyCascade__SkyLearn,SkyLearn Learning Management System,full_selected_context,qwen2.5:3b,47255,26,8,7,1,0.75,0.2692307692307692,0.07982374768089054,0.14018725769877843,0.125,18.277,36.87236074217641
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,readme_only,qwen2.5:3b,10040,14,4,4,1,0.6666666666666666,0.2857142857142857,0.10397727272727272,0.08871381886087769,0.0,6.585,36.743586070791956
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,file_tree_only,qwen2.5:3b,4967,14,8,1,1,0.5,0.07142857142857142,0.125,0.10714285714285714,0.875,9.817,17.857142857142858
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,readme_plus_tree,qwen2.5:3b,15009,14,4,3,1,0.6666666666666666,0.21428571428571427,0.0,0.159465623981753,0.25,7.758,30.72531769305963
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,routes_controllers,qwen2.5:3b,30061,14,4,3,1,0.6666666666666666,0.21428571428571427,0.0,0.2825641025641026,0.25,10.075,32.57179487179487
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,models_services,qwen2.5:3b,29789,14,8,2,1,0.5,0.14285714285714285,0.0,0.1340909090909091,0.75,17.03,19.511363636363637
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,readme_plus_code,qwen2.5:3b,44865,14,8,3,1,1.0,0.21428571428571427,0.13863636363636364,0.15780384490061908,0.625,19.378,36.38978494623656
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,full_selected_context,qwen2.5:3b,52018,14,3,3,1,0.5,0.21428571428571427,0.0,0.12284159159159158,0.0,14.804,29.342623873873876
adityagoyal222__django-lms,Django LMS,readme_only,qwen2.5:3b,833,13,8,8,1,0.6666666666666666,0.6153846153846154,0.03125,0.1135144816457386,0.0,7.982,47.199512096480944
adityagoyal222__django-lms,Django LMS,file_tree_only,qwen2.5:3b,630,13,3,2,1,0.3333333333333333,0.15384615384615385,0.125,0.20666666666666667,0.3333333333333333,3.899,24.31794871794872
adityagoyal222__django-lms,Django LMS,readme_plus_tree,qwen2.5:3b,1465,13,8,7,1,0.6666666666666666,0.5384615384615384,0.35306122448979593,0.14389985014985016,0.125,6.773,50.14920942153085
adityagoyal222__django-lms,Django LMS,routes_controllers,qwen2.5:3b,10713,13,8,6,1,0.6666666666666666,0.46153846153846156,0.16825396825396824,0.1428724053724054,0.25,10.57,42.49534493284494
adityagoyal222__django-lms,Django LMS,models_services,qwen2.5:3b,17894,13,8,5,1,0.6666666666666666,0.38461538461538464,0.26428571428571423,0.2720187745349036,0.375,10.683,42.410867698609636
adityagoyal222__django-lms,Django LMS,readme_plus_code,qwen2.5:3b,27824,13,8,8,1,0.6666666666666666,0.6153846153846154,0.34851190476190474,0.127654013418067,0.0,14.431,53.756843168303966
adityagoyal222__django-lms,Django LMS,full_selected_context,qwen2.5:3b,30898,13,0,0,0,0.0,0.0,0.0,0.0,0.0,17.766,10.0
engripaye__library-management-system,REST Library Management System,readme_only,qwen2.5:3b,3396,8,8,5,1,0.5,0.625,0.12333333333333334,0.11702679638163509,0.375,6.458,42.34706861239119
engripaye__library-management-system,REST Library Management System,file_tree_only,qwen2.5:3b,289,8,8,4,1,1.0,0.5,0.0,0.10138980990274093,0.5,8.268,44.020847148541115
engripaye__library-management-system,REST Library Management System,readme_plus_tree,qwen2.5:3b,3687,8,8,5,1,0.5,0.625,0.19666666666666668,0.11888278388278388,0.375,8.034,43.841575091575095
engripaye__library-management-system,REST Library Management System,routes_controllers,qwen2.5:3b,2913,8,8,6,1,1.0,0.75,0.18611111111111112,0.11402290254311613,0.25,5.835,59.18256576036895
engripaye__library-management-system,REST Library Management System,models_services,qwen2.5:3b,7611,8,8,6,1,0.5,0.75,0.0,0.2545312952767314,0.25,6.969,47.56796942915096
engripaye__library-management-system,REST Library Management System,readme_plus_code,qwen2.5:3b,17122,8,5,3,1,0.5,0.375,0.18888888888888888,0.09878981972005228,0.4,9.952,34.38462507357856
engripaye__library-management-system,REST Library Management System,full_selected_context,qwen2.5:3b,17431,8,8,5,1,0.5,0.625,0.3466666666666666,0.10699377634861507,0.375,15.131,46.66323997856256
jobic10__student-management-using-django,Student Management System Django,readme_only,qwen2.5:3b,7547,13,8,7,1,0.6666666666666666,0.5384615384615384,0.3168367346938776,0.14721812307456197,0.125,9.971,49.47449371948316
jobic10__student-management-using-django,Student Management System Django,file_tree_only,qwen2.5:3b,336,13,4,2,1,1.0,0.15384615384615385,0.07142857142857142,0.07575757575757575,0.5,5.363,32.94955044955044
jobic10__student-management-using-django,Student Management System Django,readme_plus_tree,qwen2.5:3b,7885,13,8,7,1,0.6666666666666666,0.5384615384615384,0.13112244897959183,0.15965747305033018,0.125,9.956,45.946798254833965
jobic10__student-management-using-django,Student Management System Django,routes_controllers,qwen2.5:3b,16142,13,3,2,1,0.3333333333333333,0.15384615384615385,0.17142857142857143,0.17083333333333334,0.3333333333333333,6.823,24.70902014652015
jobic10__student-management-using-django,Student Management System Django,models_services,qwen2.5:3b,5301,13,8,3,1,0.6666666666666666,0.23076923076923078,0.20555555555555557,0.11464144231546607,0.625,8.21,30.990989156099513
jobic10__student-management-using-django,Student Management System Django,readme_plus_code,qwen2.5:3b,38234,13,9,6,1,0.6666666666666666,0.46153846153846156,0.023809523809523808,0.14898303714093186,0.3333333333333333,18.247,38.8647821871506
jobic10__student-management-using-django,Student Management System Django,full_selected_context,qwen2.5:3b,38590,13,8,6,1,0.6666666666666666,0.46153846153846156,0.10714285714285714,0.13160602968072008,0.25,16.822,41.10412707524743
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,readme_only,qwen2.5:3b,2357,10,10,7,1,1.0,0.7,0.0,0.19639906458410938,0.3,10.102,54.44598596876163
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,file_tree_only,qwen2.5:3b,210,10,2,2,1,1.0,0.2,0.0,0.12662337662337664,0.0,2.24,38.89935064935065
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,readme_plus_tree,qwen2.5:3b,2569,10,10,7,1,1.0,0.7,0.0,0.1899145440358366,0.3,10.637,54.348718160537544
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,routes_controllers,qwen2.5:3b,11725,10,8,3,1,0.0,0.3,0.35555555555555557,0.17513835674755215,0.625,10.121,23.988186462324393
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,models_services,qwen2.5:3b,17411,10,8,5,1,0.0,0.5,0.06666666666666667,0.20467571644042235,0.375,12.211,28.153469079939665
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,readme_plus_code,qwen2.5:3b,30655,10,0,0,0,0.0,0.0,0.0,0.0,0.0,21.159,10.0
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,full_selected_context,qwen2.5:3b,36763,10,0,0,0,0.0,0.0,0.0,0.0,0.0,23.007,10.0
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,readme_only,qwen2.5:3b,1244,8,5,5,1,0.0,0.625,0.08787878787878789,0.12026929392446635,0.0,5.107,35.436615166442756
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,file_tree_only,qwen2.5:3b,318,8,2,2,1,0.0,0.25,0.0,0.18365384615384617,0.0,3.3,21.504807692307693
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,readme_plus_tree,qwen2.5:3b,1564,8,5,5,1,0.0,0.625,0.08787878787878789,0.1264445699228308,0.0,4.513,35.52924430641822
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,routes_controllers,qwen2.5:3b,11054,8,8,5,1,0.0,0.625,0.10151515151515152,0.12280140336731238,0.375,8.165,31.997324080812717
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,models_services,qwen2.5:3b,17100,8,5,4,1,0.0,0.5,0.0,0.13140075559430398,0.2,8.492,27.471011333914564
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,readme_plus_code,qwen2.5:3b,29183,8,8,4,1,0.0,0.5,0.25,0.16013153513153514,0.5,15.724,29.90197302697302
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,full_selected_context,qwen2.5:3b,31313,8,8,2,1,0.0,0.25,0.20833333333333331,0.18417874396135264,0.75,16.223,18.179347826086953
mwinamijr__django-scms,Django School Management System API,readme_only,qwen2.5:3b,2284,14,8,2,1,0.5,0.14285714285714285,0.0625,0.06451612903225806,0.75,6.604,19.717741935483872
mwinamijr__django-scms,Django School Management System API,file_tree_only,qwen2.5:3b,1548,14,3,2,1,0.5,0.14285714285714285,0.08333333333333333,0.1362478777589134,0.3333333333333333,4.017,25.377051499717034
mwinamijr__django-scms,Django School Management System API,readme_plus_tree,qwen2.5:3b,3834,14,8,2,1,0.75,0.14285714285714285,0.0625,0.0710955710955711,0.75,8.887,24.816433566433567
mwinamijr__django-scms,Django School Management System API,routes_controllers,qwen2.5:3b,28032,14,8,1,1,0.75,0.07142857142857142,0.3333333333333333,0.06896551724137931,0.875,11.691,26.451149425287362
mwinamijr__django-scms,Django School Management System API,models_services,qwen2.5:3b,30062,14,8,4,1,0.5,0.2857142857142857,0.0,0.11586107311141511,0.5,15.776,26.737916096671228
mwinamijr__django-scms,Django School Management System API,readme_plus_code,qwen2.5:3b,38354,14,4,1,1,0.75,0.07142857142857142,0.0,0.08108108108108109,0.75,11.555,21.216216216216218
mwinamijr__django-scms,Django School Management System API,full_selected_context,qwen2.5:3b,45934,14,8,1,1,0.75,0.07142857142857142,0.125,0.08823529411764706,0.875,18.229,22.57352941176471
openfun__marsha,Marsha Educational Media Platform,readme_only,qwen2.5:3b,10040,15,4,3,1,0.6666666666666666,0.2,0.0,0.1855372445616348,0.25,7.208,30.616392001757852
openfun__marsha,Marsha Educational Media Platform,file_tree_only,qwen2.5:3b,5007,15,8,2,1,0.3333333333333333,0.13333333333333333,0.0,0.06135531135531135,0.75,9.846,14.753663003663004
openfun__marsha,Marsha Educational Media Platform,readme_plus_tree,qwen2.5:3b,15049,15,8,4,1,0.6666666666666666,0.26666666666666666,0.0,0.12135135135135136,0.5,12.592,29.486936936936935
openfun__marsha,Marsha Educational Media Platform,routes_controllers,qwen2.5:3b,30061,15,8,6,1,0.3333333333333333,0.4,0.12103174603174605,0.12152832152832153,0.25,15.035,32.410226410226414
openfun__marsha,Marsha Educational Media Platform,models_services,qwen2.5:3b,30062,15,8,4,1,0.3333333333333333,0.26666666666666666,0.09424603174603173,0.11520200324548151,0.5,15.722,24.612950683602854
openfun__marsha,Marsha Educational Media Platform,readme_plus_code,qwen2.5:3b,46102,15,4,3,1,0.3333333333333333,0.2,0.037037037037037035,0.1492063492063492,0.25,14.078,24.14550264550265
openfun__marsha,Marsha Educational Media Platform,full_selected_context,qwen2.5:3b,52018,15,6,3,1,0.3333333333333333,0.2,0.027777777777777776,0.16684822076978936,0.5,17.375,21.724945533769063
thakurpdhiraj__library_management_system,Library Management System Microservices,readme_only,qwen2.5:3b,5867,12,8,4,1,1.0,0.3333333333333333,0.0,0.14522325071399428,0.5,8.37,38.84501542737658
thakurpdhiraj__library_management_system,Library Management System Microservices,file_tree_only,qwen2.5:3b,2662,12,8,4,1,0.6666666666666666,0.3333333333333333,0.0,0.12095864661654135,0.5,8.245,31.814379699248118
thakurpdhiraj__library_management_system,Library Management System Microservices,readme_plus_tree,qwen2.5:3b,8531,12,8,4,1,0.6666666666666666,0.3333333333333333,0.0,0.1664144163763066,0.5,10.134,32.4962162456446
thakurpdhiraj__library_management_system,Library Management System Microservices,routes_controllers,qwen2.5:3b,30061,12,8,1,1,0.6666666666666666,0.08333333333333333,0.1111111111111111,0.11904761904761904,0.875,15.906,21.50793650793651
thakurpdhiraj__library_management_system,Library Management System Microservices,models_services,qwen2.5:3b,30062,12,8,2,1,0.3333333333333333,0.16666666666666666,0.045454545454545456,0.22363083164300201,0.75,15.564,19.26355338373594
thakurpdhiraj__library_management_system,Library Management System Microservices,readme_plus_code,qwen2.5:3b,41929,12,8,5,1,1.0,0.4166666666666667,0.0,0.17407407407407405,0.375,16.478,43.44444444444444
thakurpdhiraj__library_management_system,Library Management System Microservices,full_selected_context,qwen2.5:3b,50492,12,8,7,1,0.6666666666666666,0.5833333333333334,0.04184704184704185,0.1837411010217092,0.125,20.485,46.093057352266484
tough-dev-school__education-backend,Tough Dev School Education Backend,readme_only,qwen2.5:3b,2897,17,8,1,1,0.0,0.058823529411764705,0.0,0.06,0.875,9.594,4.208823529411765
tough-dev-school__education-backend,Tough Dev School Education Backend,file_tree_only,qwen2.5:3b,5144,17,8,3,1,0.2,0.17647058823529413,0.0,0.11742180559384859,0.625,8.191,15.687797672143025
tough-dev-school__education-backend,Tough Dev School Education Backend,readme_plus_tree,qwen2.5:3b,8043,17,8,2,1,0.4,0.11764705882352941,0.0,0.047619047619047616,0.75,11.307,15.331932773109244
tough-dev-school__education-backend,Tough Dev School Education Backend,routes_controllers,qwen2.5:3b,27614,17,8,4,1,0.2,0.23529411764705882,0.23055555555555557,0.26166314305849186,0.5,17.603,25.771352374635548
tough-dev-school__education-backend,Tough Dev School Education Backend,models_services,qwen2.5:3b,29642,17,5,1,1,0.2,0.058823529411764705,0.125,0.2653061224489796,0.8,13.162,14.53841536614646
tough-dev-school__education-backend,Tough Dev School Education Backend,readme_plus_code,qwen2.5:3b,34642,17,3,2,1,0.2,0.11764705882352941,0.0625,0.22619047619047616,0.3333333333333333,11.728,19.42717086834734
tough-dev-school__education-backend,Tough Dev School Education Backend,full_selected_context,qwen2.5:3b,46249,17,3,2,1,0.2,0.11764705882352941,0.0625,0.21363636363636362,0.3333333333333333,14.997,19.238859180035654
