repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,deepseek-v4-pro,3576,11,8,3,1,0.75,0.2727272727272727,0.0,0.11810160624815798,0.625,61.929,30.066978639176924
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,deepseek-v4-pro,4907,11,8,3,1,0.75,0.2727272727272727,0.2333333333333333,0.2689233350998057,0.625,93.975,36.995971238618296
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,deepseek-v4-pro,39646,11,8,4,1,0.5,0.36363636363636365,0.0,0.12427228616665481,0.5,107.596,29.591357019772545
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,deepseek-v4-pro,35828,11,8,3,1,0.75,0.2727272727272727,0.09722222222222221,0.15116587175410703,0.625,61.442,32.507387066210605
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,deepseek-v4-pro,50577,11,8,2,1,0.75,0.18181818181818182,0.0,0.22058823529411764,0.75,107.71,27.172459893048128
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,deepseek-v4-pro,50594,11,8,4,1,0.5,0.36363636363636365,0.22767857142857142,0.2702605873658505,0.5,123.693,36.334752966331905
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,deepseek-v4-pro,255,7,3,2,1,0.0,0.2857142857142857,0.14583333333333331,0.15826612903225806,0.3333333333333333,24.699,21.957325268817204
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,deepseek-v4-pro,844,7,5,1,1,0.0,0.14285714285714285,0.14285714285714285,0.0967741935483871,0.8,56.03,11.308755760368664
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,deepseek-v4-pro,17089,7,8,4,1,0.0,0.5714285714285714,0.0,0.2597049689440994,0.5,61.234,28.89557453416149
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,deepseek-v4-pro,23193,7,8,5,1,0.0,0.7142857142857143,0.275,0.2482933669140565,0.375,52.474,40.47440050371085
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,deepseek-v4-pro,18237,7,8,4,1,0.0,0.5714285714285714,0.16666666666666666,0.24976449275362317,0.5,71.259,32.07980072463768
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,oracle_upper_bound,deepseek-v4-pro,18966,7,8,4,1,0.0,0.5714285714285714,0.20238095238095238,0.22827635327635326,0.5,90.118,32.471764346764346
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,deepseek-v4-pro,595,4,0,0,1,0.0,0.0,0.0,0.0,1.0,20.423,0.0
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,deepseek-v4-pro,223,4,1,1,1,1.0,0.25,0.16666666666666666,0.21212121212121213,0.0,28.01,45.265151515151516
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,deepseek-v4-pro,13344,4,5,3,1,0.0,0.75,0.2222222222222222,0.2463963963963964,0.4,47.264,40.39039039039039
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,random_code_same_budget,deepseek-v4-pro,13579,4,7,4,1,1.0,1.0,0.35416666666666663,0.21270527717896137,0.42857142857142855,62.778,70.98819820530348
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,deepseek-v4-pro,13587,4,4,4,1,0.0,1.0,0.5625,0.24845655806182124,0.0,27.534,59.976848370927314
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,oracle_upper_bound,deepseek-v4-pro,14321,4,4,3,1,0.0,0.75,0.5833333333333334,0.2850606909430438,0.25,35.943,49.69257703081232
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,deepseek-v4-pro,821,6,4,2,1,0.0,0.3333333333333333,0.1,0.20476190476190476,0.5,31.845,21.73809523809524
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,deepseek-v4-pro,435,6,8,3,1,0.0,0.5,0.21666666666666667,0.230952380952381,0.625,38.911,29.047619047619044
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_code,deepseek-v4-pro,6655,6,6,3,1,1.0,0.5,0.06666666666666667,0.19542031256802053,0.5,65.655,46.764638021853635
JacksonGao1999__StudentManagement,Student Management CRUD,random_code_same_budget,deepseek-v4-pro,36095,6,5,3,1,1.0,0.5,0.43333333333333335,0.16942959001782532,0.4,82.537,54.70811051693405
JacksonGao1999__StudentManagement,Student Management CRUD,full_selected_context,deepseek-v4-pro,10738,6,8,4,1,1.0,0.6666666666666666,0.44166666666666665,0.16975950514584334,0.5,65.373,59.713059243854325
JacksonGao1999__StudentManagement,Student Management CRUD,oracle_upper_bound,deepseek-v4-pro,19443,6,8,4,1,0.0,0.6666666666666666,0.30833333333333335,0.24085365853658536,0.5,58.527,38.11280487804878
RameshMF__library-management-system,Library Management REST API,readme_only,deepseek-v4-pro,245,6,1,0,1,0.0,0.0,0.0,0.0,1.0,24.764,0.0
RameshMF__library-management-system,Library Management REST API,file_tree_only,deepseek-v4-pro,238,6,0,0,1,0.0,0.0,0.0,0.0,1.0,26.11,0.0
RameshMF__library-management-system,Library Management REST API,readme_plus_code,deepseek-v4-pro,6756,6,8,5,1,0.5,0.8333333333333334,0.5933333333333334,0.3532986032236407,0.375,74.23,62.582812381687944
RameshMF__library-management-system,Library Management REST API,random_code_same_budget,deepseek-v4-pro,9121,6,8,6,1,0.5,1.0,0.2638888888888889,0.2778276205812438,0.25,53.046,61.94519208649643
RameshMF__library-management-system,Library Management REST API,full_selected_context,deepseek-v4-pro,7318,6,8,6,1,0.5,1.0,0.0,0.3474555496485321,0.25,51.028,57.71183324472797
RameshMF__library-management-system,Library Management REST API,oracle_upper_bound,deepseek-v4-pro,7702,6,8,5,1,0.5,0.8333333333333334,0.6333333333333334,0.28112921690415293,0.375,42.702,62.30027158689564
SkyCascade__SkyLearn,SkyLearn Learning Management System,readme_only,deepseek-v4-pro,3850,26,8,8,1,1.0,0.3076923076923077,0.14404761904761904,0.22254199688410214,0.0,69.679,46.98831310344468
SkyCascade__SkyLearn,SkyLearn Learning Management System,file_tree_only,deepseek-v4-pro,1315,26,8,4,1,0.5,0.15384615384615385,0.37499999999999994,0.21438626126126126,0.5,61.703,31.100409303534306
SkyCascade__SkyLearn,SkyLearn Learning Management System,readme_plus_code,deepseek-v4-pro,39670,26,8,8,1,1.0,0.3076923076923077,0.3742559523809524,0.25711809552260545,0.0,100.467,52.1111212496889
SkyCascade__SkyLearn,SkyLearn Learning Management System,random_code_same_budget,deepseek-v4-pro,25452,26,8,7,1,0.5,0.2692307692307692,0.17687074829931973,0.30921010632992196,0.125,80.123,36.34864348401215
SkyCascade__SkyLearn,SkyLearn Learning Management System,full_selected_context,deepseek-v4-pro,47261,26,8,8,1,0.75,0.3076923076923077,0.20963203463203461,0.28186023489570383,0.0,104.327,44.18977498530702
SkyCascade__SkyLearn,SkyLearn Learning Management System,oracle_upper_bound,deepseek-v4-pro,47400,26,8,8,1,1.0,0.3076923076923077,0.37119859307359304,0.21361304771076461,0.0,106.247,51.3973983463641
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,readme_only,deepseek-v4-pro,10040,14,4,2,1,1.0,0.14285714285714285,0.0,0.23885918003565063,0.5,56.894,33.582887700534755
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,file_tree_only,deepseek-v4-pro,4967,14,8,5,1,1.0,0.35714285714285715,0.1304040404040404,0.25316785846707984,0.375,61.38,45.15559868508701
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,readme_plus_code,deepseek-v4-pro,46110,14,8,4,1,1.0,0.2857142857142857,0.0,0.23400337302776328,0.5,72.893,38.510050595416445
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,random_code_same_budget,deepseek-v4-pro,32032,14,8,6,1,0.6666666666666666,0.42857142857142855,0.03042328042328042,0.26794193402352795,0.25,62.172,40.46092795215186
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,full_selected_context,deepseek-v4-pro,52018,14,8,3,1,0.6666666666666666,0.21428571428571427,0.0,0.2814113990584579,0.625,78.024,28.8045043192102
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,oracle_upper_bound,deepseek-v4-pro,52018,14,8,6,1,1.0,0.42857142857142855,0.24219576719576727,0.28519616107335405,0.25,68.917,51.62185776001566
adityagoyal222__django-lms,Django LMS,readme_only,deepseek-v4-pro,833,13,8,6,1,1.0,0.46153846153846156,0.15178571428571427,0.3165554555905433,0.25,51.001,51.4378922734186
adityagoyal222__django-lms,Django LMS,file_tree_only,deepseek-v4-pro,630,13,7,3,1,0.6666666666666666,0.23076923076923078,0.23809523809523805,0.16222666222666224,0.5714285714285714,31.553,32.89127539127539
adityagoyal222__django-lms,Django LMS,readme_plus_code,deepseek-v4-pro,29421,13,8,5,1,0.6666666666666666,0.38461538461538464,0.46071428571428574,0.2649306249306249,0.375,64.746,46.23311688311688
adityagoyal222__django-lms,Django LMS,random_code_same_budget,deepseek-v4-pro,19547,13,8,7,1,1.0,0.5384615384615384,0.30187074829931976,0.27237013389814746,0.125,84.969,57.719120820612446
adityagoyal222__django-lms,Django LMS,full_selected_context,deepseek-v4-pro,30071,13,8,7,1,0.6666666666666666,0.5384615384615384,0.4141156462585034,0.33114444481405014,0.125,93.056,54.178966776867995
adityagoyal222__django-lms,Django LMS,oracle_upper_bound,deepseek-v4-pro,31043,13,8,6,1,0.6666666666666666,0.46153846153846156,0.5178571428571429,0.3397202797202796,0.25,107.091,52.44012654012654
engripaye__library-management-system,REST Library Management System,readme_only,deepseek-v4-pro,3396,8,8,5,1,0.5,0.625,0.12333333333333334,0.3161406693664758,0.375,52.989,45.3337767071638
engripaye__library-management-system,REST Library Management System,file_tree_only,deepseek-v4-pro,289,8,1,1,1,0.5,0.125,0.16666666666666666,0.21621621621621623,0.0,25.527,30.951576576576578
