repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,claude-sonnet-4-5,3576,11,0,0,0,0.0,0.0,0.0,0.0,1.0,12.722,0.0
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,claude-sonnet-4-5,4907,11,0,0,0,0.0,0.0,0.0,0.0,1.0,13.891,0.0
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,claude-sonnet-4-5,39646,11,0,0,0,0.0,0.0,0.0,0.0,1.0,15.587,0.0
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,claude-sonnet-4-5,35828,11,0,0,0,0.0,0.0,0.0,0.0,1.0,14.026,0.0
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,claude-sonnet-4-5,50577,11,0,0,0,0.0,0.0,0.0,0.0,1.0,13.934,0.0
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,claude-sonnet-4-5,50594,11,0,0,0,0.0,0.0,0.0,0.0,1.0,13.96,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,claude-sonnet-4-5,255,7,0,0,0,0.0,0.0,0.0,0.0,1.0,11.379,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,claude-sonnet-4-5,844,7,0,0,0,0.0,0.0,0.0,0.0,1.0,14.179,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,claude-sonnet-4-5,17089,7,0,0,0,0.0,0.0,0.0,0.0,1.0,14.708,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,claude-sonnet-4-5,23193,7,0,0,0,0.0,0.0,0.0,0.0,1.0,13.585,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,claude-sonnet-4-5,18237,7,0,0,0,0.0,0.0,0.0,0.0,1.0,14.16,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,oracle_upper_bound,claude-sonnet-4-5,18966,7,0,0,0,0.0,0.0,0.0,0.0,1.0,13.033,0.0
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,claude-sonnet-4-5,595,4,1,0,1,0.0,0.0,0.0,0.0,1.0,10.567,0.0
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,claude-sonnet-4-5,223,4,1,1,1,1.0,0.25,0.6666666666666666,0.19444444444444445,0.0,9.707,54.99999999999999
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,claude-sonnet-4-5,13344,4,0,0,0,0.0,0.0,0.0,0.0,1.0,12.873,0.0
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,random_code_same_budget,claude-sonnet-4-5,13579,4,0,0,0,0.0,0.0,0.0,0.0,1.0,13.967,0.0
