model,comparison,pairs,composite_score_delta_mean,composite_score_delta_sd,composite_score_delta_ci_low,composite_score_delta_ci_high,use_case_recall_delta_mean,use_case_recall_delta_sd,use_case_recall_delta_ci_low,use_case_recall_delta_ci_high,path_fidelity_delta_mean,path_fidelity_delta_sd,path_fidelity_delta_ci_low,path_fidelity_delta_ci_high,unsupported_feature_rate_delta_mean,unsupported_feature_rate_delta_sd,unsupported_feature_rate_delta_ci_low,unsupported_feature_rate_delta_ci_high,elapsed_sec_delta_mean,elapsed_sec_delta_sd,elapsed_sec_delta_ci_low,elapsed_sec_delta_ci_high
deepseek-coder:6.7b,readme_plus_code_minus_readme_only,6,-11.326967150736445,18.124770132587106,-24.57868051971362,1.9130824372759865,-0.16666666666666666,0.21081851067789198,-0.3333333333333333,-0.027777777777777776,-0.028306878306878305,0.06933740806291004,-0.08492063492063491,0.0,0.3333333333333333,0.408248290463863,0.08333333333333333,0.6666666666666666,15.934333333333333,4.3117291968149685,12.682166666666667,18.804
deepseek-coder:6.7b,bm25_minus_readme_plus_code,0,,,,,,,,,,,,,,,,,,,,
deepseek-coder:6.7b,bm25_minus_random_code,0,,,,,,,,,,,,,,,,,,,,
deepseek-coder:6.7b,full_minus_readme_plus_code,6,-0.96326164874552,10.923858241659795,-10.0,7.11021505376344,0.027777777777777776,0.06804138174397717,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,-0.08333333333333333,0.2041241452319315,-0.25,0.0,13.334833333333336,13.721660357502904,4.159166666666668,24.341570833333325
deepseek-coder:6.7b,readme_plus_code_minus_file_tree,6,0.43055555555555625,11.64192813672807,-7.472222222222221,9.152777777777779,-0.05555555555555555,0.08606629658238704,-0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.20026024734496528,0.0,0.2708333333333333,18.607999999999997,4.569423639804039,14.753166666666665,21.365
deepseek-coder:6.7b,readme_plus_code_minus_random_code,6,-11.51392916027062,10.283107123177722,-19.209873595239447,-3.9141414141414135,-0.13888888888888887,0.12546210878484684,-0.22222222222222224,-0.05555555555555555,0.0,0.0,0.0,0.0,0.3888888888888889,0.37515428924742517,0.1388888888888889,0.6666666666666666,2.020333333333331,6.594615217483631,-2.9540000000000024,6.594008333333327
deepseek-coder:6.7b,routes_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
deepseek-coder:6.7b,models_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
deepseek-coder:6.7b,oracle_upper_bound_minus_readme_plus_code,6,-0.09886499402628572,18.16389892005397,-12.222222222222221,14.147849462365587,0.08333333333333333,0.2041241452319315,0.0,0.25,0.040740740740740744,0.09979402655783319,0.0,0.12222222222222223,-0.125,0.30618621784789724,-0.375,0.0,10.110833333333334,13.991087912191343,1.6550000000000011,21.153500000000005
qwen2.5-coder:7b,readme_plus_code_minus_readme_only,6,2.5861137283521987,8.35074398364393,-3.7142112621614314,8.491916339197273,0.02777777777777778,0.1948408657416687,-0.1111111111111111,0.16666666666666666,0.037076719576719576,0.1285709427451792,-0.0453968253968254,0.13813492063492064,-0.020833333333333332,0.14613064930625153,-0.125,0.08333333333333333,19.295333333333335,3.306802302325719,16.889499999999998,21.669833333333333
