repo,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
InvoicePlane__InvoicePlane,file_tree_only,3,0.6666666666666666,0.5,0.16666666666666666,0.027777777777777776,0.13243597499495866,0.875,20.23633333333333,19.625428513813272,4640.0,5.333333333333333
InvoicePlane__InvoicePlane,full_selected_context,3,0.6666666666666666,0.5,0.16666666666666666,0.15476190476190474,0.14726393059726392,0.875,42.166666666666664,22.387530387530393,52018.0,5.333333333333333
InvoicePlane__InvoicePlane,oracle_upper_bound,3,0.6666666666666666,0.5,0.16666666666666666,0.29365079365079366,0.13858024691358026,0.875,43.46833333333334,25.03505291005291,52018.0,5.333333333333333
InvoicePlane__InvoicePlane,random_code_same_budget,3,1.0,0.6666666666666666,0.2222222222222222,0.0,0.16883468834688345,0.611111111111111,27.466000000000005,27.53252032520325,36091.0,3.6666666666666665
InvoicePlane__InvoicePlane,readme_only,3,1.0,0.5,0.27777777777777773,0.0,0.12594414943605184,0.7916666666666666,23.758,23.69471779709633,10040.0,7.333333333333333
InvoicePlane__InvoicePlane,readme_plus_code,3,0.6666666666666666,0.5,0.2222222222222222,0.13756613756613756,0.12990964410842706,0.8333333333333334,39.35399999999999,24.144411857393607,46106.0,5.333333333333333
firefly-iii__firefly-iii,file_tree_only,3,0.6666666666666666,0.6666666666666666,0.27777777777777773,0.0,0.10310475665314374,0.7916666666666666,18.97366666666667,26.685460238686048,7090.0,5.333333333333333
firefly-iii__firefly-iii,full_selected_context,3,0.6666666666666666,0.6666666666666666,0.27777777777777773,0.0,0.10139943868392143,0.7999999999999999,49.32900000000001,26.57654713581438,52018.0,6.0
firefly-iii__firefly-iii,oracle_upper_bound,3,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.0925925925925926,0.09402068821749225,0.8333333333333334,37.632666666666665,26.039939952892013,52018.0,5.333333333333333
firefly-iii__firefly-iii,random_code_same_budget,3,1.0,1.0,0.1111111111111111,0.0,0.12549019607843137,0.7777777777777778,29.711333333333332,27.99346405228758,36085.0,5.0
firefly-iii__firefly-iii,readme_only,3,1.0,1.0,0.5,0.13809523809523808,0.14087321601090286,0.5833333333333334,22.736333333333334,46.541669668734976,10040.0,7.333333333333333
firefly-iii__firefly-iii,readme_plus_code,3,1.0,1.0,0.16666666666666666,0.0,0.09407889107555405,0.875,39.202000000000005,28.494516699466644,46106.0,6.0
