repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,llama3.2:3b,3576,11,4,1,1,0.5,0.09090909090909091,0.0,0.12,0.75,17.625,17.48181818181818
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,llama3.2:3b,4907,11,8,3,1,0.75,0.2727272727272727,0.0,0.07452391662917979,0.625,22.201,29.41331329489224
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,llama3.2:3b,39646,11,4,1,1,0.25,0.09090909090909091,0.0,0.18181818181818182,0.75,32.672,13.40909090909091
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,llama3.2:3b,35828,11,4,2,1,0.25,0.18181818181818182,0.0,0.167964404894327,0.5,30.936,18.88310243705127
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,llama3.2:3b,50577,11,8,2,1,0.5,0.18181818181818182,0.0,0.1615581098339719,0.75,70.944,21.287008011145943
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,llama3.2:3b,50594,11,5,2,1,0.0,0.18181818181818182,0.19642857142857142,0.10117056856187291,0.6,41.073,15.809766320635887
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,llama3.2:3b,255,7,8,3,1,0.0,0.42857142857142855,0.0,0.2057836822329576,0.625,25.669,21.836755233494365
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,llama3.2:3b,844,7,8,1,1,0.0,0.14285714285714285,0.0,0.14285714285714285,0.875,17.114,8.392857142857142
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,llama3.2:3b,17089,7,8,4,1,0.0,0.5714285714285714,0.03571428571428571,0.25416666666666665,0.5,32.715,29.526785714285715
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,llama3.2:3b,23193,7,4,2,1,0.0,0.2857142857142857,0.0,0.18722943722943722,0.5,23.502,17.808441558441558
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,llama3.2:3b,18237,7,5,4,1,0.0,0.5714285714285714,0.03571428571428571,0.20662761151891584,0.2,23.411,31.81369988706945
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,oracle_upper_bound,llama3.2:3b,18966,7,5,3,1,0.0,0.42857142857142855,0.0,0.17957708490667815,0.4,24.263,23.693656273600173
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,llama3.2:3b,595,4,8,1,1,0.0,0.25,0.25,0.041666666666666664,0.875,23.663,15.625000000000004
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,llama3.2:3b,223,4,8,3,1,0.0,0.75,0.0,0.10342555994729907,0.625,26.034,31.551383399209488
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,llama3.2:3b,13344,4,4,1,1,0.0,0.25,0.0,0.07692307692307693,0.75,21.473,12.403846153846153
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,random_code_same_budget,llama3.2:3b,13579,4,6,1,1,0.0,0.25,0.25,0.15151515151515152,0.8333333333333334,24.808,17.68939393939394
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,llama3.2:3b,13587,4,4,3,1,0.0,0.75,0.0,0.22429193899782132,0.25,16.811,37.11437908496731
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,oracle_upper_bound,llama3.2:3b,14321,4,4,1,1,0.0,0.25,0.3333333333333333,0.3684210526315789,0.75,21.283,23.442982456140353
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,llama3.2:3b,821,6,8,4,1,0.0,0.6666666666666666,0.0,0.11003526014770393,0.5,28.863,29.98386223554889
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,llama3.2:3b,435,6,8,4,1,0.0,0.6666666666666666,0.0,0.08924229506126058,0.5,27.582,29.671967759252237
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_code,llama3.2:3b,6655,6,4,1,1,0.0,0.16666666666666666,0.2,0.14285714285714285,0.75,17.696,14.476190476190476
JacksonGao1999__StudentManagement,Student Management CRUD,random_code_same_budget,llama3.2:3b,36095,6,3,1,1,0.0,0.16666666666666666,0.2,0.17857142857142858,0.6666666666666666,26.94,15.845238095238095
JacksonGao1999__StudentManagement,Student Management CRUD,full_selected_context,llama3.2:3b,10738,6,6,0,1,0.0,0.0,0.0,0.0,1.0,36.383,0.0
JacksonGao1999__StudentManagement,Student Management CRUD,oracle_upper_bound,llama3.2:3b,19443,6,5,0,1,0.0,0.0,0.0,0.0,1.0,29.019,0.0
RameshMF__library-management-system,Library Management REST API,readme_only,llama3.2:3b,245,6,7,3,1,0.5,0.5,0.1111111111111111,0.10708534621578099,0.5714285714285714,18.63,35.61421670117323
RameshMF__library-management-system,Library Management REST API,file_tree_only,llama3.2:3b,238,6,8,0,1,0.0,0.0,0.0,0.0,1.0,22.144,0.0
RameshMF__library-management-system,Library Management REST API,readme_plus_code,llama3.2:3b,6756,6,8,4,1,0.5,0.6666666666666666,0.0,0.3509661835748792,0.5,24.035,43.59782608695652
