repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,qwen2.5:3b,3576,11,8,3,1,0.5,0.2727272727272727,0.0,0.15995115995115994,0.625,40.132,25.694721944721945
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,qwen2.5:3b,4907,11,8,0,1,0.25,0.0,0.0,0.0,1.0,36.182,5.0
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,qwen2.5:3b,39646,11,8,2,1,0.5,0.18181818181818182,0.0,0.16383928571428572,0.75,63.506,21.321225649350648
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,qwen2.5:3b,35828,11,6,2,1,0.25,0.18181818181818182,0.0,0.21042760690172543,0.6666666666666666,41.842,17.853383800495575
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,qwen2.5:3b,50577,11,5,3,1,0.5,0.2727272727272727,0.0,0.12431457431457432,0.4,21.818,27.41017316017316
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,qwen2.5:3b,50594,11,8,3,1,0.5,0.2727272727272727,0.047619047619047616,0.13728906196624993,0.625,59.532,26.307171427329244
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,qwen2.5:3b,255,7,8,5,1,1.0,0.7142857142857143,0.0,0.14730362230362232,0.375,30.088,53.45955433455434
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,qwen2.5:3b,844,7,8,2,1,1.0,0.2857142857142857,0.07142857142857142,0.09217506631299735,0.75,26.68,35.311197423266385
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,qwen2.5:3b,17089,7,8,4,1,0.0,0.5714285714285714,0.11309523809523808,0.23539915966386554,0.5,48.502,30.792892156862745
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,qwen2.5:3b,23193,7,6,5,1,0.0,0.7142857142857143,0.16214285714285714,0.17184615384615382,0.16666666666666666,41.34,39.153882783882786
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,qwen2.5:3b,18237,7,8,7,1,1.0,1.0,0.09064625850340136,0.2159102766299168,0.125,38.343,68.80157931951678
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,oracle_upper_bound,qwen2.5:3b,18966,7,8,5,1,0.0,0.7142857142857143,0.0,0.16624703521255246,0.375,37.438,33.743705528188286
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,qwen2.5:3b,595,4,3,1,1,1.0,0.25,0.0,0.1935483870967742,0.6666666666666666,12.794,34.986559139784944
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,qwen2.5:3b,223,4,2,1,1,1.0,0.25,0.0,0.2222222222222222,0.5,9.11,37.08333333333333
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,qwen2.5:3b,13344,4,8,4,1,1.0,1.0,0.0,0.24563774300616406,0.5,48.258,63.68456614509247
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,random_code_same_budget,qwen2.5:3b,13579,4,8,4,1,0.0,1.0,0.0625,0.20102989471650728,0.5,38.948,44.2654484207476
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,qwen2.5:3b,13587,4,8,4,1,1.0,1.0,0.0,0.2351166956430114,0.5,39.188,63.52675043464519
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,oracle_upper_bound,qwen2.5:3b,14321,4,8,4,1,1.0,1.0,0.0,0.24794547170859013,0.5,39.112,63.71918207562886
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,qwen2.5:3b,821,6,8,4,1,1.0,0.6666666666666666,0.0,0.25216633244206776,0.5,37.243,52.11582831996435
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,qwen2.5:3b,435,6,2,2,1,1.0,0.3333333333333333,0.0,0.12823275862068967,0.0,13.08,43.59015804597701
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_code,qwen2.5:3b,6655,6,7,0,1,1.0,0.0,0.0,0.0,1.0,31.282,20.0
