match_threshold,condition,rows,parse_ok,use_case_recall,path_fidelity,unsupported_feature_rate,composite_score
0.2,file_tree_only,48,1.0,0.4216046310715427,0.0424257920760897,0.253587962962963,33.470630281879245
0.2,full_selected_context,48,0.8333333333333334,0.3725450815524345,0.06723053504861541,0.4323281463906464,30.03497512785955
0.2,oracle_upper_bound,48,0.8125,0.35874085065261535,0.08771175294612794,0.448098544973545,28.18179496828891
0.2,random_code_same_budget,48,0.8541666666666666,0.3785262735630382,0.07038483796296295,0.32690972222222214,29.258457704086542
0.2,readme_only,48,0.8958333333333334,0.41654785165814584,0.02812419475365904,0.2772734788359788,33.71229989889226
0.2,readme_plus_code,48,0.8333333333333334,0.39216968693071635,0.052598269579296364,0.37924107142857144,30.12390006049087
0.24,file_tree_only,48,1.0,0.3364213400978106,0.044130291005291006,0.3890046296296295,29.318988194665963
0.24,full_selected_context,48,0.8333333333333334,0.3368693602149484,0.06184465384428182,0.4980510808635808,28.083385568131984
0.24,oracle_upper_bound,48,0.8125,0.3239700658818306,0.09165056173984747,0.5059689153439154,26.544265912564416
0.24,random_code_same_budget,48,0.8541666666666666,0.33952380340247984,0.07444877488032249,0.3963541666666666,27.38594483843035
0.24,readme_only,48,0.8958333333333334,0.36807483774395533,0.02708577591390091,0.3609209656084656,31.257199169281748
0.24,readme_plus_code,48,0.8333333333333334,0.34959634932061395,0.05375845508658009,0.4610367063492064,27.880535704017007
0.28,file_tree_only,48,1.0,0.23588515242927002,0.04358878968253968,0.5558449074074074,24.192406442585863
0.28,full_selected_context,48,0.8333333333333334,0.2771723068598068,0.06899457926057628,0.5870712042587043,25.29114339154937
0.28,oracle_upper_bound,48,0.8125,0.2607098885591532,0.0949453828248471,0.5987599206349207,23.58773620023233
0.28,random_code_same_budget,48,0.8541666666666666,0.2592121012157777,0.0846861096079846,0.5434027777777778,23.549577371796854
0.28,readme_only,48,0.8958333333333334,0.2986091420834067,0.03541404693190408,0.4708746693121694,28.0653674226819
0.28,readme_plus_code,48,0.8333333333333334,0.2760808431764314,0.06353360615079365,0.586111111111111,24.32024668831298
0.32,file_tree_only,48,1.0,0.2284783435518729,0.04113343253968254,0.5833333333333334,23.37644973532703
0.32,full_selected_context,48,0.8333333333333334,0.26751876595626595,0.07802855743517946,0.612649907962408,24.865100380477312
0.32,oracle_upper_bound,48,0.8125,0.24144096304022775,0.08702803975125405,0.6318287037037037,22.22346093585007
0.32,random_code_same_budget,48,0.8541666666666666,0.247994152497829,0.07222767105579604,0.5546875000000001,22.74858624533735
0.32,readme_only,48,0.8958333333333334,0.2841711699248463,0.03541404693190408,0.5064649470899473,27.226980940225662
0.32,readme_plus_code,48,0.8333333333333334,0.270872509843098,0.06484367484367483,0.591579861111111,24.126484971414822
0.36,file_tree_only,48,1.0,0.136059345066698,0.03763828763828763,0.7640046296296297,18.09523650256227
0.36,full_selected_context,48,0.8333333333333334,0.2069434038184038,0.07489340059466547,0.7039693524068525,21.810980781058827
0.36,oracle_upper_bound,48,0.8125,0.20870720374396842,0.09002160744348246,0.6846064814814815,20.697760838036338
0.36,random_code_same_budget,48,0.8541666666666666,0.19465599759717409,0.07488478535353535,0.6491319444444443,19.94667360799707
0.36,readme_only,48,0.8958333333333334,0.19550672978981798,0.03816220238095238,0.6499173280423282,22.821831527914053
0.36,readme_plus_code,48,0.8333333333333334,0.19994502025752023,0.07427891263828763,0.6963417658730157,20.765511537967573
0.4,file_tree_only,48,1.0,0.136059345066698,0.03763828763828763,0.7640046296296297,18.09523650256227
0.4,full_selected_context,48,0.8333333333333334,0.20614212176712174,0.0722892339279988,0.7065735190735193,21.626685909263955
0.4,oracle_upper_bound,48,0.8125,0.19531434660111127,0.08217434764309763,0.6984953703703702,19.808189960587264
0.4,random_code_same_budget,48,0.8541666666666666,0.19316790235907885,0.07459543350168349,0.651736111111111,19.848911996121238
0.4,readme_only,48,0.8958333333333334,0.18853800407109225,0.03607886904761904,0.6716187169312171,22.25209538540059
0.4,readme_plus_code,48,0.8333333333333334,0.19994502025752023,0.07427891263828763,0.6963417658730157,20.765511537967573
