repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,qwen2.5-coder:7b,3576,11,8,4,1,0.5,0.36363636363636365,0.0,0.11117816091954022,0.5,14.216,29.394945141065833
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,qwen2.5-coder:7b,4907,11,8,3,1,0.5,0.2727272727272727,0.0,0.05131706206975024,0.625,12.695,24.0652104765008
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,qwen2.5-coder:7b,39646,11,8,3,1,0.5,0.2727272727272727,0.0,0.09124949124949126,0.625,29.99,24.66419691419691
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,qwen2.5-coder:7b,35828,11,8,4,1,0.25,0.36363636363636365,0.0,0.07518315018315018,0.5,25.528,23.855019980019975
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,qwen2.5-coder:7b,50577,11,8,3,1,0.5,0.2727272727272727,0.0,0.09750796870472327,0.625,34.092,24.758074076025395
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,qwen2.5-coder:7b,50594,11,8,4,1,0.5,0.36363636363636365,0.0625,0.051668247944339024,0.5,36.985,29.752296446437814
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,qwen2.5-coder:7b,255,7,3,2,1,0.0,0.2857142857142857,0.0,0.11692307692307694,0.3333333333333333,4.769,18.420512820512823
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,qwen2.5-coder:7b,844,7,8,3,1,1.0,0.42857142857142855,0.041666666666666664,0.19135802469135801,0.625,10.571,42.4537037037037
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,qwen2.5-coder:7b,17089,7,5,4,1,1.0,0.5714285714285714,0.29166666666666663,0.2086855877616747,0.2,14.608,56.96361714975846
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,qwen2.5-coder:7b,23193,7,8,4,1,0.0,0.5714285714285714,0.13541666666666666,0.1442099567099567,0.5,21.613,29.87148268398268
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,qwen2.5-coder:7b,18237,7,8,5,1,1.0,0.7142857142857143,0.22523809523809524,0.2013666687579731,0.375,19.246,58.77526193613151
