repo,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
4jean__lav_sms,file_tree_only,8,1.0,0.625,0.22727272727272727,0.046875,0.08593144554237735,0.6385416666666667,26.570999999999998,26.295600471014446,4907.0,7.375
4jean__lav_sms,full_selected_context,8,1.0,0.4375,0.2727272727272727,0.006696428571428571,0.10572853114547112,0.5875,55.253625,24.14031108406519,50577.0,6.25
4jean__lav_sms,oracle_upper_bound,8,0.875,0.375,0.24999999999999997,0.0478422619047619,0.08942534581196221,0.60625,59.394875,22.485725425274673,50594.0,6.125
4jean__lav_sms,random_code_same_budget,8,0.875,0.25,0.1931818181818182,0.01171875,0.11489174309628629,0.6614583333333334,42.453625,17.104531449474596,35828.0,5.25
4jean__lav_sms,readme_only,8,0.875,0.40625,0.20454545454545456,0.0,0.09429945221366261,0.6821428571428572,28.113,19.877154120867274,3576.0,6.0
4jean__lav_sms,readme_plus_code,8,0.875,0.34375,0.23863636363636365,0.0234375,0.1009435466533513,0.646875,46.742374999999996,20.741425927072996,39646.0,6.125
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,8,1.0,0.625,0.30357142857142855,0.05567956349206349,0.12435113805678523,0.71875,23.26,28.916358340693048,844.0,6.75
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,8,1.0,0.625,0.6428571428571428,0.10475340136054422,0.18768706827533088,0.3375,32.419375,46.53537405134085,18237.0,6.875
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,8,1.0,0.375,0.5535714285714285,0.09190228174603175,0.18154572452965265,0.4666666666666667,34.722375,36.76956483619876,18966.0,7.375
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,8,1.0,0.25,0.5892857142857143,0.0941046626984127,0.1679922161420817,0.4067460317460317,37.600125000000006,35.95951617863917,23193.0,7.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_only,8,1.0,0.5,0.375,0.05629960317460317,0.14464614618623553,0.4047619047619047,15.294500000000003,32.373065208666546,255.0,4.75
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,readme_plus_code,8,1.0,0.5,0.5892857142857142,0.12296626984126982,0.18367685386543872,0.42812500000000003,34.656,41.55822820480698,17089.0,7.25
Asitha123__Java-Spring-boot-Student-Management-System,file_tree_only,8,1.0,0.75,0.5,0.09027777777777778,0.1721558564543968,0.6026785714285714,16.12175,40.86110768808579,223.0,5.625
Asitha123__Java-Spring-boot-Student-Management-System,full_selected_context,8,1.0,0.5,0.875,0.2248263888888889,0.22606950328209496,0.234375,23.504625000000004,56.1688203270092,13587.0,5.0
Asitha123__Java-Spring-boot-Student-Management-System,oracle_upper_bound,8,1.0,0.5,0.78125,0.2734375,0.23742920160577788,0.28125,23.9095,53.56143802408667,14321.0,4.5
Asitha123__Java-Spring-boot-Student-Management-System,random_code_same_budget,8,1.0,0.625,0.59375,0.20572916666666666,0.18908448074649492,0.6197916666666667,30.758,44.03418387786409,13579.0,6.5
Asitha123__Java-Spring-boot-Student-Management-System,readme_only,8,1.0,0.5,0.28125,0.03125,0.09841703323558162,0.7708333333333334,12.81,24.23667216520039,595.0,4.5
Asitha123__Java-Spring-boot-Student-Management-System,readme_plus_code,8,1.0,0.625,0.8125,0.1970486111111111,0.20078332938466867,0.3125,24.880999999999997,54.76522216299225,13344.0,5.0
JacksonGao1999__StudentManagement,file_tree_only,8,1.0,0.625,0.4791666666666667,0.13541666666666669,0.12638494141707152,0.33125,16.362625,40.562440787922746,435.0,4.875
JacksonGao1999__StudentManagement,full_selected_context,8,1.0,0.75,0.2708333333333333,0.22083333333333338,0.07762103960032468,0.6651785714285714,26.533249999999995,33.40836321305249,10738.0,5.25
JacksonGao1999__StudentManagement,oracle_upper_bound,8,1.0,0.625,0.27083333333333337,0.1560416666666667,0.07383973326322464,0.719642857142857,29.2215,29.011167427519798,19443.0,5.125
JacksonGao1999__StudentManagement,random_code_same_budget,8,0.875,0.5,0.375,0.2947916666666667,0.12405379948939593,0.5712797619047618,44.77975000000001,35.168842706626656,36095.0,4.875
JacksonGao1999__StudentManagement,readme_only,8,1.0,0.625,0.4583333333333333,0.016666666666666666,0.14817329227658718,0.521875,18.834125,35.87884938414881,821.0,6.25
JacksonGao1999__StudentManagement,readme_plus_code,8,1.0,0.75,0.3125,0.18888888888888888,0.10259233709127184,0.60625,20.286125000000002,35.19166283414686,6655.0,4.875
RameshMF__library-management-system,file_tree_only,8,1.0,0.3125,0.3333333333333333,0.1295138888888889,0.1545957600445378,0.6397321428571429,17.9365,26.428559416541084,238.0,6.125
RameshMF__library-management-system,full_selected_context,8,1.0,0.6875,0.5,0.22784722222222226,0.2186811397769131,0.5943452380952381,29.41825,43.14370916014576,7318.0,7.375
RameshMF__library-management-system,oracle_upper_bound,8,1.0,0.625,0.5833333333333334,0.39722222222222225,0.2445916708839731,0.509375,30.306875,49.43623617437071,7702.0,7.0
