repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,deepseek-coder:6.7b,3576,11,0,0,0,0.0,0.0,0.0,0.0,1.0,24.262,0.0
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,deepseek-coder:6.7b,4907,11,6,4,1,0.75,0.36363636363636365,0.0,0.11092342342342343,0.3333333333333333,26.804,36.05779074529075
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,deepseek-coder:6.7b,39646,11,0,0,0,0.0,0.0,0.0,0.0,1.0,36.049,0.0
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,deepseek-coder:6.7b,35828,11,0,0,0,0.0,0.0,0.0,0.0,1.0,37.58,0.0
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,deepseek-coder:6.7b,50577,11,0,0,1,0.0,0.0,0.0,0.0,1.0,59.723,0.0
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,deepseek-coder:6.7b,50594,11,0,0,0,0.0,0.0,0.0,0.0,1.0,46.523,0.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,deepseek-coder:6.7b,255,7,3,2,1,1.0,0.2857142857142857,0.0,0.165,0.3333333333333333,18.781,39.141666666666666
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,deepseek-coder:6.7b,844,7,4,1,1,0.0,0.14285714285714285,0.0,0.13043478260869565,0.75,19.4,9.456521739130434
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,deepseek-coder:6.7b,17089,7,5,2,1,0.0,0.2857142857142857,0.08333333333333333,0.09065934065934066,0.6,37.033,17.026556776556774
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,deepseek-coder:6.7b,23193,7,8,4,1,0.0,0.5714285714285714,0.11309523809523808,0.15723443223443223,0.5,47.181,29.620421245421248
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,deepseek-coder:6.7b,18237,7,4,3,1,0.0,0.42857142857142855,0.10317460317460318,0.1926575698505523,0.25,35.157,27.453355611250352
