repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,qwen2.5-coder:32b,3576,11,8,3,1,0.5,0.2727272727272727,0.0,0.05273368606701939,0.625,79.875,24.086459836459838
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,qwen2.5-coder:32b,4907,11,8,5,1,0.75,0.45454545454545453,0.1,0.18502611518915865,0.375,71.726,41.93448263692829
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,qwen2.5-coder:32b,39646,11,8,4,1,0.5,0.36363636363636365,0.0,0.08729166666666666,0.5,122.864,29.036647727272722
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,qwen2.5-coder:32b,35828,11,8,3,1,0.25,0.2727272727272727,0.0,0.09581132856994927,0.625,127.595,19.732624474003785
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,qwen2.5-coder:32b,50577,11,8,5,1,0.5,0.45454545454545453,0.0,0.0947289269869915,0.375,148.876,33.58002481389578
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,qwen2.5-coder:32b,50594,11,8,5,1,0.5,0.45454545454545453,0.02857142857142857,0.04923719165085389,0.375,164.966,33.46907735528229
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,qwen2.5-coder:32b,255,7,3,2,1,0.0,0.2857142857142857,0.14583333333333331,0.14521739130434783,0.3333333333333333,22.599,21.76159420289855
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,qwen2.5-coder:32b,844,7,8,4,1,1.0,0.5714285714285714,0.0625,0.19285714285714284,0.5,64.361,49.142857142857146
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,qwen2.5-coder:32b,17089,7,8,6,1,1.0,0.8571428571428571,0.13888888888888887,0.1836857452799482,0.25,82.178,63.03306395697701
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,qwen2.5-coder:32b,23193,7,7,6,1,1.0,0.8571428571428571,0.11805555555555554,0.21557997557997557,0.14285714285714285,90.053,64.16623931623933
