model,comparison,pairs,composite_score_delta_mean,composite_score_delta_sd,composite_score_delta_ci_low,composite_score_delta_ci_high,use_case_recall_delta_mean,use_case_recall_delta_sd,use_case_recall_delta_ci_low,use_case_recall_delta_ci_high,path_fidelity_delta_mean,path_fidelity_delta_sd,path_fidelity_delta_ci_low,path_fidelity_delta_ci_high,unsupported_feature_rate_delta_mean,unsupported_feature_rate_delta_sd,unsupported_feature_rate_delta_ci_low,unsupported_feature_rate_delta_ci_high,elapsed_sec_delta_mean,elapsed_sec_delta_sd,elapsed_sec_delta_ci_low,elapsed_sec_delta_ci_high
qwen2.5-coder:1.5b,readme_plus_code_minus_readme_only,16,2.3577805319524607,16.191342263196525,-5.432364788077619,9.73361731994489,0.0730294521654816,0.14089268607896396,0.006841122266214184,0.13807709983031674,0.13566231511544014,0.15858117777430913,0.06357127637987013,0.2148706315386003,0.0061755952380952404,0.25726122303296556,-0.11742745535714283,0.12903087797619042,4.076062500000001,1.8265531644329436,3.2025156249999998,4.898081249999999
qwen2.5-coder:1.5b,bm25_minus_readme_plus_code,16,-4.822020642573585,18.387531782037378,-12.98547729350062,4.074505502705747,-0.03387803985230456,0.18466336228957742,-0.11662425350384911,0.05629817180368646,-0.05555814844877345,0.1486053724934727,-0.12498476675234486,0.011701039411976883,0.004653679653679646,0.25965361108824697,-0.12847960633116884,0.12214809929653678,0.6382500000000002,1.919972968559714,-0.2703859375,1.5233296874999993
qwen2.5-coder:1.5b,bm25_minus_random_code,16,-1.0385422390164187,13.893279137327744,-7.623705122309998,5.748876031289732,0.0023309411177058195,0.19811646324427465,-0.09126754908694248,0.09361315002399553,-0.022202380952380953,0.11055206108190214,-0.08082378472222222,0.02704104662698409,0.05195030663780664,0.4311645593041523,-0.15089764835858582,0.2552998737373737,2.040375,1.8820544404099122,1.1458984375,2.9803125
qwen2.5-coder:1.5b,full_minus_readme_plus_code,16,2.803396440168166,10.785404457329776,-1.9978465165403423,7.82719351777336,-0.000582107843137258,0.1150411377453068,-0.053715474170437406,0.05665665064102561,-0.03259509154040404,0.14500528781988722,-0.09999950678661618,0.036674276244588716,-0.04933035714285715,0.2691806697108025,-0.18527157738095235,0.07760788690476189,-0.08975000000000016,1.3981089847838521,-0.7135468750000004,0.6018749999999996
qwen2.5-coder:1.5b,readme_plus_code_minus_file_tree,16,7.170607626142908,17.99877689254569,-1.352620596922273,15.381565755757153,0.08502995166598107,0.2351452418214547,-0.024962166356927377,0.19448872053191904,0.10623523178210678,0.16654348740469913,0.03000062285804473,0.18768908391955264,-0.09122023809523808,0.31332400809928107,-0.23707403273809521,0.053956473214285657,3.806625,2.4932290943005353,2.5612578124999996,4.883128125
qwen2.5-coder:1.5b,readme_plus_code_minus_random_code,16,3.7834784035571656,17.608166556144305,-5.102674419797992,11.345875819453557,0.036208980970010386,0.21828426687119967,-0.06405286808779456,0.13902117949452508,0.03335576749639249,0.17465604354949896,-0.05182948345057721,0.11480348124098114,0.04729662698412698,0.3282680851466276,-0.10886346726190477,0.20285652281746028,1.4021250000000003,1.9554510775436613,0.4059625000000001,2.2508062499999997
qwen2.5-coder:1.5b,routes_minus_file_tree,16,3.5848445387682046,9.008838069434253,-0.7437969542635845,7.975208388417853,0.02119807276057276,0.1358984452480359,-0.042600290334665336,0.0836361164876788,0.09695560515873015,0.11514525981714575,0.046292007688492065,0.1555240885416666,-0.07105654761904763,0.30942297464672697,-0.2139378720238095,0.07518043154761886,1.2383750000000002,2.157948280968136,0.283065625,2.296389062499999
qwen2.5-coder:1.5b,models_minus_file_tree,16,1.8970149488502708,13.956306690220998,-4.4380089554740385,9.004752686388803,-0.02096809440559441,0.18818219043867962,-0.10563920454545457,0.07313492497086242,0.011718749999999997,0.1458161089916368,-0.05434461805555556,0.08837890624999994,0.012797619047619065,0.36156586576092437,-0.16393601190476192,0.1762686011904762,1.9275625,2.0132227884249008,0.9792609375,2.9343437499999996
qwen2.5-coder:1.5b,oracle_upper_bound_minus_readme_plus_code,16,5.1153603180594045,19.275257729102613,-3.437124368667802,14.512785859771574,0.05484989887563417,0.19080341841478043,-0.02816753405907818,0.1484488688394938,0.011169282106782108,0.17261827865425527,-0.06672072285353535,0.09268199292027415,-0.13509424603174602,0.3327955465493777,-0.2901816716269841,0.02771763392857135,0.14806249999999999,1.1223817810798604,-0.3618343750000002,0.7058281249999996
qwen2.5-coder:3b,readme_plus_code_minus_readme_only,16,5.51828400373137,18.123119544413,-3.141231957434335,13.36686968357398,0.090014091300856,0.17870696950539133,0.0039001730499892274,0.1666617925579322,0.15195594336219337,0.15540501151448505,0.07968186327561327,0.22642941693722943,-0.08482142857142856,0.24094661672006007,-0.18817522321428573,0.033526785714285474,5.100375,2.3462957720628492,3.9627421875,6.2300734375000015
qwen2.5-coder:3b,bm25_minus_readme_plus_code,16,-6.235938698045932,20.290920210699888,-15.668082049116071,3.2977891570529256,-0.0331010900863842,0.27014174683660663,-0.1584183983908249,0.09147760787007109,-0.05144751082251082,0.10163441890745711,-0.10241285624098126,-0.006506696428571454,0.07676091269841269,0.40517677588731926,-0.11599020337301584,0.2643080357142855,2.2858125,2.9318987981340694,0.9213109375000003,3.7059703125
