repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,qwen2.5-coder:1.5b,3576,11,7,1,1,0.25,0.09090909090909091,0.0,0.11764705882352941,0.8571428571428571,4.306,11.37509549274255
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,qwen2.5-coder:1.5b,4907,11,8,0,1,0.75,0.0,0.0,0.0,1.0,3.75,15.000000000000002
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_tree,qwen2.5-coder:1.5b,8485,11,6,2,1,0.75,0.18181818181818182,0.0,0.12452107279693486,0.6666666666666666,3.427,26.56478578892372
4jean__lav_sms,LAVSMS Laravel School Management,routes_controllers,qwen2.5-coder:1.5b,30069,11,3,1,1,0.25,0.09090909090909091,0.0,0.14285714285714285,0.6666666666666666,3.946,13.658008658008658
4jean__lav_sms,LAVSMS Laravel School Management,models_services,qwen2.5-coder:1.5b,7663,11,4,2,1,0.25,0.18181818181818182,0.0,0.07248157248157248,0.5,2.997,17.45085995085995
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,qwen2.5-coder:1.5b,39646,11,5,1,1,0.0,0.09090909090909091,0.16666666666666666,0.046511627906976744,0.8,6.711,9.212825933756166
4jean__lav_sms,LAVSMS Laravel School Management,bm25_retrieved_code,qwen2.5-coder:1.5b,42135,11,11,4,1,0.5,0.36363636363636365,0.0,0.1262887887887888,0.6363636363636364,9.861,28.257968195468198
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,qwen2.5-coder:1.5b,35828,11,4,0,1,0.25,0.0,0.0,0.0,1.0,5.393,5.0
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,qwen2.5-coder:1.5b,50577,11,5,1,1,0.5,0.09090909090909091,0.0,0.15384615384615385,0.8,7.423,17.48951048951049
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,qwen2.5-coder:1.5b,50594,11,4,2,1,0.5,0.18181818181818182,0.0,0.14303959131545338,0.5,8.231,23.509230233368168
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,qwen2.5-coder:1.5b,255,7,3,2,1,1.0,0.2857142857142857,0.0,0.08448275862068966,0.3333333333333333,1.537,37.93390804597701
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,qwen2.5-coder:1.5b,844,7,2,0,1,1.0,0.0,0.0,0.0,1.0,1.466,20.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_tree,qwen2.5-coder:1.5b,1101,7,7,3,1,1.0,0.42857142857142855,0.0,0.22,0.5714285714285714,3.864,42.58571428571429
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,routes_controllers,qwen2.5-coder:1.5b,9831,7,4,2,1,0.0,0.2857142857142857,0.07142857142857142,0.1939655172413793,0.5,3.024,19.338054187192117
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,models_services,qwen2.5-coder:1.5b,9266,7,4,0,1,1.0,0.0,0.0,0.0,1.0,3.357,20.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,qwen2.5-coder:1.5b,17089,7,8,3,1,1.0,0.42857142857142855,0.08333333333333333,0.17165616246498602,0.625,6.497,42.991509103641455
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,bm25_retrieved_code,qwen2.5-coder:1.5b,24114,7,7,2,1,0.0,0.2857142857142857,0.15476190476190477,0.12687500000000002,0.7142857142857143,6.359,17.855505952380952
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,qwen2.5-coder:1.5b,23193,7,6,3,1,0.0,0.42857142857142855,0.05555555555555555,0.10457984866587017,0.5,6.128,22.679808841099163
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,qwen2.5-coder:1.5b,18237,7,6,3,1,1.0,0.42857142857142855,0.08333333333333333,0.20148809523809522,0.5,5.188,44.68898809523809
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,oracle_upper_bound,qwen2.5-coder:1.5b,18966,7,8,3,1,0.0,0.42857142857142855,0.047619047619047616,0.1887402452619844,0.625,6.244,22.533484631310717
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,qwen2.5-coder:1.5b,595,4,2,1,1,1.0,0.25,0.0,0.21428571428571427,0.5,1.135,36.96428571428571
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,qwen2.5-coder:1.5b,223,4,7,3,1,1.0,0.75,0.05555555555555555,0.1765873015873016,0.5714285714285714,3.84,54.29563492063492
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_tree,qwen2.5-coder:1.5b,820,4,7,2,1,1.0,0.5,0.0,0.1543560606060606,0.7142857142857143,4.744,42.67248376623377
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,routes_controllers,qwen2.5-coder:1.5b,2248,4,4,3,1,1.0,0.75,0.2222222222222222,0.23067076292882746,0.25,2.354,61.65450588837687
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,models_services,qwen2.5-coder:1.5b,10520,4,4,2,1,1.0,0.5,0.41666666666666663,0.18287037037037038,0.5,3.188,53.57638888888889
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,qwen2.5-coder:1.5b,13344,4,4,2,1,1.0,0.5,0.20833333333333331,0.2202797202797203,0.5,2.969,49.97086247086247
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,bm25_retrieved_code,qwen2.5-coder:1.5b,27060,4,7,2,1,1.0,0.5,0.20833333333333331,0.24928160919540232,0.7142857142857143,6.116,48.263033661740565
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,random_code_same_budget,qwen2.5-coder:1.5b,13579,4,4,2,1,1.0,0.5,0.5,0.11602787456445993,0.5,3.65,54.24041811846689
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,qwen2.5-coder:1.5b,13587,4,4,3,1,1.0,0.75,0.4444444444444444,0.22965367965367967,0.25,3.393,66.08369408369408
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,oracle_upper_bound,qwen2.5-coder:1.5b,14321,4,4,2,1,0.0,0.5,0.5,0.14838709677419354,0.5,3.73,34.725806451612904
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,qwen2.5-coder:1.5b,821,6,4,3,1,1.0,0.5,0.0,0.10320378151260505,0.25,2.035,46.548056722689076
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,qwen2.5-coder:1.5b,435,6,4,3,1,1.0,0.5,0.21666666666666667,0.10404014844804317,0.25,2.535,50.89393556005398
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_tree,qwen2.5-coder:1.5b,1258,6,4,3,1,1.0,0.5,0.0,0.07941176470588235,0.25,2.168,46.19117647058823
JacksonGao1999__StudentManagement,Student Management CRUD,routes_controllers,qwen2.5-coder:1.5b,3524,6,4,2,1,1.0,0.3333333333333333,0.4,0.03428571428571429,0.5,3.054,45.18095238095238
JacksonGao1999__StudentManagement,Student Management CRUD,models_services,qwen2.5-coder:1.5b,2329,6,5,1,1,1.0,0.16666666666666666,0.0,0.045454545454545456,0.8,3.92,28.515151515151523
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_code,qwen2.5-coder:1.5b,6655,6,4,2,1,0.0,0.3333333333333333,0.2,0.08183183183183183,0.5,3.307,21.894144144144146
JacksonGao1999__StudentManagement,Student Management CRUD,bm25_retrieved_code,qwen2.5-coder:1.5b,37337,6,3,1,1,0.0,0.16666666666666666,0.2,0.075,0.6666666666666666,6.507,14.291666666666666
JacksonGao1999__StudentManagement,Student Management CRUD,random_code_same_budget,qwen2.5-coder:1.5b,36095,6,4,3,1,0.0,0.5,0.21666666666666667,0.09047619047619049,0.25,6.803,30.69047619047619
JacksonGao1999__StudentManagement,Student Management CRUD,full_selected_context,qwen2.5-coder:1.5b,10738,6,4,2,1,1.0,0.3333333333333333,0.4,0.04292929292929293,0.5,3.739,45.310606060606055
JacksonGao1999__StudentManagement,Student Management CRUD,oracle_upper_bound,qwen2.5-coder:1.5b,19443,6,5,3,1,1.0,0.5,0.3333333333333333,0.11944444444444445,0.4,5.2,51.95833333333333
RameshMF__library-management-system,Library Management REST API,readme_only,qwen2.5-coder:1.5b,245,6,4,1,1,0.0,0.16666666666666666,0.0,0.13793103448275862,0.75,2.577,10.402298850574713
RameshMF__library-management-system,Library Management REST API,file_tree_only,qwen2.5-coder:1.5b,238,6,7,3,1,0.0,0.5,0.0,0.14086141279123734,0.5714285714285714,4.669,23.898635477582847
RameshMF__library-management-system,Library Management REST API,readme_plus_tree,qwen2.5-coder:1.5b,485,6,7,3,1,0.0,0.5,0.2611111111111111,0.1492063492063492,0.5714285714285714,5.669,29.246031746031747
RameshMF__library-management-system,Library Management REST API,routes_controllers,qwen2.5-coder:1.5b,2731,6,7,2,1,0.0,0.3333333333333333,0.225,0.24444444444444444,0.7142857142857143,4.181,22.69047619047619
RameshMF__library-management-system,Library Management REST API,models_services,qwen2.5-coder:1.5b,3799,6,6,3,1,0.0,0.5,0.15,0.20457912457912455,0.5,4.986,28.568686868686864
RameshMF__library-management-system,Library Management REST API,readme_plus_code,qwen2.5-coder:1.5b,6756,6,7,2,1,0.5,0.3333333333333333,0.45,0.08166666666666667,0.7142857142857143,5.031,34.74880952380953
RameshMF__library-management-system,Library Management REST API,bm25_retrieved_code,qwen2.5-coder:1.5b,10865,6,6,3,1,0.5,0.5,0.2333333333333333,0.11387824606215409,0.5,4.618,38.87484035759898
RameshMF__library-management-system,Library Management REST API,random_code_same_budget,qwen2.5-coder:1.5b,9121,6,7,3,1,0.5,0.5,0.2333333333333333,0.0915116345223872,0.5714285714285714,4.827,37.82505547021676
RameshMF__library-management-system,Library Management REST API,full_selected_context,qwen2.5-coder:1.5b,7318,6,9,3,1,0.5,0.5,0.4666666666666666,0.10180827700293775,0.6666666666666666,6.343,41.693790821710735
RameshMF__library-management-system,Library Management REST API,oracle_upper_bound,qwen2.5-coder:1.5b,7702,6,5,2,1,0.5,0.3333333333333333,0.45,0.17956989247311828,0.6,4.425,37.36021505376345
SkyCascade__SkyLearn,SkyLearn Learning Management System,readme_only,qwen2.5-coder:1.5b,3850,26,4,0,1,0.5,0.0,0.0,0.0,1.0,2.775,10.0
SkyCascade__SkyLearn,SkyLearn Learning Management System,file_tree_only,qwen2.5-coder:1.5b,1315,26,2,1,1,0.5,0.038461538461538464,0.0,0.13513513513513514,0.5,1.57,18.37318087318087
SkyCascade__SkyLearn,SkyLearn Learning Management System,readme_plus_tree,qwen2.5-coder:1.5b,5167,26,4,0,1,0.5,0.0,0.0,0.0,1.0,3.112,10.0
SkyCascade__SkyLearn,SkyLearn Learning Management System,routes_controllers,qwen2.5-coder:1.5b,28437,26,7,2,1,0.5,0.07692307692307693,0.3333333333333333,0.12378048780487805,0.7142857142857143,7.313,24.072824533190385
SkyCascade__SkyLearn,SkyLearn Learning Management System,models_services,qwen2.5-coder:1.5b,23697,26,8,0,1,0.5,0.0,0.0,0.0,1.0,6.805,10.0
SkyCascade__SkyLearn,SkyLearn Learning Management System,readme_plus_code,qwen2.5-coder:1.5b,39670,26,5,2,1,0.5,0.07692307692307693,0.16666666666666666,0.18423423423423424,0.6,7.44,22.789154539154538
SkyCascade__SkyLearn,SkyLearn Learning Management System,bm25_retrieved_code,qwen2.5-coder:1.5b,41670,26,2,1,1,0.5,0.038461538461538464,0.0,0.27906976744186046,0.5,6.414,20.532200357781754
SkyCascade__SkyLearn,SkyLearn Learning Management System,random_code_same_budget,qwen2.5-coder:1.5b,25452,26,9,2,1,0.75,0.07692307692307693,0.0,0.13425925925925924,0.7777777777777778,7.114,21.928418803418808
SkyCascade__SkyLearn,SkyLearn Learning Management System,full_selected_context,qwen2.5-coder:1.5b,47261,26,4,0,1,0.5,0.0,0.0,0.0,1.0,7.083,10.0
SkyCascade__SkyLearn,SkyLearn Learning Management System,oracle_upper_bound,qwen2.5-coder:1.5b,47400,26,4,0,1,0.5,0.0,0.0,0.0,1.0,7.072,10.0
abdulwahid880__School-Management-system-in-laravel-,Unifiedtransform School Management,readme_only,qwen2.5-coder:1.5b,10040,14,4,0,1,0.5,0.0,0.0,0.0,1.0,3.737,10.0
