annotator_id,category,count
annotator_11,matched_supported_goal,560
annotator_11,matched_goal_missing_or_wrong_path,46
annotator_11,framework_or_boilerplate_noise,9
annotator_11,implementation_level_goal,9
annotator_11,matched_goal_actor_label_drift,8
annotator_11,readme_overgeneralization,7
annotator_11,near_miss_or_partial_workflow,3
annotator_11,actor_scope_error,1
annotator_11,code_context_overgeneralization,1
annotator_12,matched_supported_goal,543
annotator_12,matched_goal_missing_or_wrong_path,48
annotator_12,readme_overgeneralization,26
annotator_12,implementation_level_goal,12
annotator_12,framework_or_boilerplate_noise,9
annotator_12,near_miss_or_partial_workflow,4
annotator_12,actor_scope_error,1
annotator_12,code_context_overgeneralization,1
annotator_13,matched_supported_goal,541
annotator_13,matched_goal_missing_or_wrong_path,50
annotator_13,readme_overgeneralization,26
annotator_13,implementation_level_goal,12
annotator_13,framework_or_boilerplate_noise,9
annotator_13,near_miss_or_partial_workflow,4
annotator_13,actor_scope_error,1
annotator_13,code_context_overgeneralization,1
